roll, pitch, yaw
  7.429,-41.323, 36.053
  8.909,-47.475, 35.787
 12.236,-53.314, 34.814
 14.648,-58.791, 32.929
 16.525,-63.472, 30.671
 18.337,-67.815, 28.271
 19.477,-71.641, 26.264
 21.427,-75.843, 23.762
 23.455,-80.327, 20.794
 23.855,-84.637, 17.992
 23.770,-88.866, 15.112
 23.866, 86.944, 12.370
 23.313, 83.213,  9.657
 22.445, 79.717,  7.217
 21.746, 76.753,  5.589
 21.348, 74.744,  4.545
 20.948, 72.982,  3.733
 20.048, 71.497,  3.115
 20.673, 70.123,  2.411
 22.968, 69.669,  1.742
 25.290, 69.695,  1.062
 24.896, 69.504,  0.982
 24.437, 69.860,  1.126
 24.519, 70.570,  1.361
 26.005, 71.988,  1.777
 28.698, 60.282, -3.689
 30.347, 60.017, -3.809
 31.862, 59.971, -4.142
 31.586, 59.013, -4.024
 30.954, 56.864, -4.022
 29.986, 54.132, -4.057
 28.304, 50.715, -4.336
 25.885, 47.432, -4.635
 24.023, 44.361, -5.684
 21.819, 41.003, -6.684
 18.944, 35.426,-10.082
 17.138, 29.735,-12.840
 15.767, 25.311,-15.668
 14.526, 21.403,-17.707
 12.980, 18.734,-19.070
 10.451, 16.186,-20.257
 11.127, 20.042,-18.793
 11.290, 22.777,-16.454
  9.663, 23.012,-14.860
  7.996, 21.197,-14.999
  6.271, 19.898,-17.552
  4.586, 20.229,-20.004
  3.061, 17.527,-22.126
  2.391, 14.995,-22.670
  1.851, 13.242,-23.626
  1.634, 12.172,-23.517
  1.957, 11.160,-22.263
  2.351, 10.436,-21.096
  2.334,  7.155,-19.146
  2.294,  4.227,-18.450
  2.086,  0.150,-18.011
  1.788, -3.601,-15.881
  2.980, -7.031,-15.969
  3.707,-10.701,-15.019
  3.583,-12.972,-14.259
  3.132,-15.088,-14.154
  2.443,-15.943,-13.745
  2.261,-15.853,-14.166
  2.685,-16.190,-15.441
  4.695,-17.875,-16.587
  4.827,-19.770,-16.881
  4.570,-20.766,-16.970
  5.224,-22.162,-16.063
  5.713,-22.662,-13.088
  5.964,-24.094,-13.422
  5.833,-25.537,-13.115
  5.967,-27.230,-12.991
