id, roll, pitch, yaw
187, 63.181,  2.714, 59.953
188, 64.965,  2.118, 59.193
189, 66.173,  2.848, 57.755
190, 69.497,  2.853, 56.096
191, 73.180,  2.697, 55.409
192, 75.174,  3.509, 54.777
193, 77.880,  3.948, 54.438
194, 84.671,  2.529, 54.140
195,-87.047,  1.227, 53.713
196,-83.819,  2.470, 53.411
197,-79.789,  3.263, 53.377
198,-76.175,  5.577, 53.243
199,-72.803,  7.549, 53.694
200,-70.266,  7.282, 53.495
201,-63.361,  4.354, 53.667
202,-52.366,  2.850, 54.500
203,-43.135,  4.085, 55.418
204,-32.263,  7.727, 56.173
205,-18.791, 11.847, 57.260
206, -9.680, 17.258, 58.368
207, -5.364, 20.919, 59.115
208, -1.646, 21.086, 59.225
209,  1.080, 21.118, 59.226
210,  3.357, 22.037, 59.515
211,  5.968, 22.718, 59.948
212,  7.523, 23.552, 59.906
213,  8.288, 24.676, 59.614
214,  9.807, 25.466, 59.945
215, 11.749, 25.841, 60.511
216, 13.719, 26.023, 60.782
217, 15.519, 26.156, 60.892
218, 17.463, 26.468, 61.225
219, 19.224, 27.002, 61.347
220, 20.162, 28.608, 61.628
221, 37.471, 56.012, 66.232
222, 40.950, 58.409, 66.761
223, 45.699, 59.333, 66.159
224, 51.272, 58.355, 65.485
225, 53.832, 59.496, 64.746
226, 56.334, 60.611, 64.266
227, 60.581, 59.654, 63.838
228, 64.773, 58.271, 63.332
229, 68.714, 57.113, 63.177
230, 71.210, 56.841, 62.986
231, 72.976, 57.291, 62.760
232, 74.923, 57.629, 62.409
233, 77.181, 57.592, 61.875
234, 79.086, 58.670, 61.269
235, 80.770, 59.884, 61.260
236, 83.217, 60.266, 61.768
237, 87.451, 59.846, 62.584
238,-87.565, 59.058, 63.537
239,-81.957, 57.725, 64.310
240,-76.038, 56.685, 64.926
241,-71.379, 56.176, 65.137
242,-64.914, 54.556, 65.133
243,-56.839, 51.617, 65.244
244,-48.879, 48.692, 65.038
245,-41.929, 45.994, 64.824
246,-36.734, 43.761, 64.596
247,-31.607, 41.501, 63.752
248,-29.738, 43.313, 63.139
249,-27.073, 43.787, 62.565
250,-22.927, 43.927, 63.024
251,-18.500, 43.611, 63.110
252,-15.815, 44.043, 62.491
253,-12.210, 44.435, 62.288
254, -8.478, 44.799, 62.173
255, -4.277, 44.723, 62.083
256, -1.093, 45.044, 61.558
257,  1.918, 44.661, 61.620
258,  5.981, 42.565, 61.623
259,  9.391, 41.247, 61.431
260, 11.100, 41.046, 60.870
261, 12.608, 40.950, 60.309
262, 14.609, 40.142, 59.857
263, 16.246, 39.870, 59.633
264, 17.986, 39.716, 59.519
265, 19.242, 39.103, 59.815
266, 21.614, 35.926, 60.367
267, 23.209, 35.428, 61.056
268, 25.054, 35.606, 61.913
269, 26.654, 36.683, 62.905
270, 28.080, 38.502, 63.350
271, 27.650, 42.673, 64.870
272, 28.758, 45.196, 65.749
273, 29.839, 47.946, 65.854
274, 31.035, 50.270, 65.764
275, 32.207, 52.730, 66.219
276, 33.588, 54.402, 66.891
277, 34.935, 56.450, 66.886
278, 36.833, 58.015, 67.151
279, 37.873, 59.620, 67.521
280, 40.184, 60.439, 66.936
281, 43.468, 61.107, 65.691
282, 46.370, 62.122, 64.873
283, 48.698, 63.414, 64.336
284, 50.886, 65.008, 63.677
285, 53.995, 66.699, 62.862
286, 57.641, 67.681, 62.576
287, 59.887, 69.247, 62.723
288, 63.280, 69.955, 63.329
289, 66.382, 70.842, 63.842
290, 67.862, 72.728, 64.469
291, 68.779, 74.944, 64.960
292, 70.455, 77.734, 65.193
293, 77.686, 78.868, 64.236
294, 86.038, 79.039, 62.936
295,-88.475, 78.909, 61.126
296,-84.004, 78.920, 60.891
297,-79.910, 78.893, 60.874
298,-74.344, 77.801, 60.717
299,-68.158, 76.023, 59.863
300,-62.850, 74.340, 59.446
301,-24.050, 62.504, 72.663
302,-22.373, 62.362, 72.312
303,-18.240, 60.651, 72.277
304,-14.599, 59.587, 72.224
305,-11.143, 58.877, 72.182
306, -8.552, 59.585, 72.408
307, -6.220, 60.986, 72.775
308, -2.904, 61.674, 72.529
309, -0.167, 62.841, 72.330
310,  0.215, 66.684, 72.034
311, -0.315, 71.796, 71.668
312,  1.547, 73.977, 71.303
313,  3.025, 75.995, 71.067
314,  6.266, 76.507, 71.367
315,  7.438, 78.714, 71.028
316,  8.637, 81.650, 70.575
317, 10.817, 83.445, 70.021
318, 13.397, 84.154, 70.006
319, 14.626, 85.625, 69.940
320, 14.179, 88.667, 69.912
321, 13.432,-88.181, 70.003
322, 15.479,-87.002, 70.401
323, 17.177,-85.273, 70.829
324, 17.002,-82.093, 70.803
325, 16.175,-78.381, 70.462
326, 16.408,-75.676, 70.464
327, 17.955,-74.549, 71.219
328, 22.019,-75.754, 72.363
329, 25.293,-75.951, 73.278
330, 27.037,-74.308, 74.561
331, 31.866,-74.940, 76.321
332, 38.608,-77.892, 77.917
