roll, pitch, yaw
-80.164,-16.026,-23.818
-79.071,-15.353,-25.214
-78.476,-13.981,-26.482
-77.686,-11.735,-27.284
-76.873,-10.580,-27.690
-77.093, -8.945,-28.166
-76.603, -7.787,-28.776
-75.392, -7.205,-29.226
-75.230, -6.316,-29.717
-75.145, -5.449,-30.154
-74.818, -4.209,-30.159
-73.734, -3.346,-30.047
-73.234, -2.322,-29.381
-72.546, -1.941,-28.029
-72.021, -2.902,-27.394
-72.118, -3.368,-27.090
-71.804, -3.178,-26.638
-71.476, -3.139,-26.381
-71.589, -2.837,-26.015
-72.240, -2.764,-26.365
-73.460, -3.232,-25.856
-74.089, -3.896,-25.547
-75.411, -4.451,-25.256
-76.983, -4.822,-25.491
-78.412, -5.172,-26.016
-81.514, -4.289,-26.865
-85.468, -3.408,-27.448
 89.281, -2.791,-28.325
-81.120, -5.601,-29.019
-79.532, -5.481,-28.281
-75.752, -6.104,-28.767
-72.992, -6.558,-29.909
-69.775, -6.488,-31.793
-67.323, -7.177,-31.176
-64.634, -7.510,-30.586
-61.744, -7.949,-29.526
-58.525, -8.179,-29.592
-55.828, -8.056,-29.968
-53.597, -8.189,-30.114
-52.315, -8.377,-29.931
-51.749, -8.627,-30.126
-50.155, -9.401,-30.770
-45.975,-11.518,-31.943
-41.887,-13.260,-33.112
-37.384,-13.586,-33.705
-32.314,-13.802,-34.106
-27.947,-14.604,-34.376
-24.567,-14.952,-34.893
-17.489,-16.187,-34.526
 -9.620,-16.914,-35.015
 -1.801,-17.016,-38.353
  2.820,-16.839,-39.305
  5.528,-16.791,-38.706
  8.772,-17.658,-37.805
 11.886,-18.281,-37.692
 14.417,-19.891,-38.858
 15.758,-21.381,-39.421
 20.951,-21.380,-40.799
 24.501,-21.331,-40.549
 26.891,-20.821,-39.364
 30.418,-21.173,-38.120
 35.792,-21.154,-38.675
 42.317,-21.828,-40.719
 49.446,-22.729,-43.159
 56.851,-25.195,-45.430
 58.972,-29.528,-45.959
 61.275,-34.804,-46.173
 66.670,-34.202,-46.926
 69.980,-33.045,-47.409
 72.750,-31.444,-47.799
 74.912,-30.169,-48.506
 77.099,-29.436,-48.997
 79.149,-28.898,-49.082
 81.508,-27.999,-48.715
 83.764,-26.615,-48.530
 85.367,-25.627,-48.437
 87.181,-24.261,-48.365
 89.800,-22.284,-48.204
-88.356,-21.176,-48.024
-88.400,-21.259,-47.847
 89.503,-21.865,-47.884
 85.639,-22.156,-47.836
 80.524,-23.137,-47.315
 77.293,-22.961,-46.505
 81.471,-22.597,-46.405
 87.835,-21.386,-46.951
-87.916,-20.815,-46.970
-82.120,-19.710,-47.276
-76.484,-19.062,-47.444
-67.962,-19.895,-48.533
-57.971,-20.922,-49.590
-55.626,-20.928,-49.697
-52.312,-21.006,-49.480
-45.749,-21.794,-50.230
-39.291,-23.868,-51.335
-34.989,-23.651,-52.075
-31.732,-24.191,-52.276
-28.072,-25.388,-53.381
-23.113,-25.709,-54.459
-18.888,-25.758,-55.898
-17.313,-25.694,-57.617
-13.819,-25.483,-60.054
 -7.936,-23.527,-60.273
 -0.013,-19.629,-60.374
  4.798,-17.965,-60.229
 10.720,-16.499,-59.959
 18.332,-14.177,-59.175
 28.052,-11.304,-56.942
 36.670, -9.794,-54.912
 50.040, -6.692,-65.001
 51.060, -6.407,-65.781
 53.165, -4.044,-65.709
 56.567, -1.878,-65.413
 56.754, -1.892,-65.548
 58.627, -1.491,-65.408
 61.228,  0.138,-65.302
 66.393,  2.911,-64.839
 70.944,  4.922,-63.644
 77.384,  8.215,-62.336
 83.748,  9.005,-61.254
-89.940, 10.846,-60.250
-85.887, 10.483,-59.419
-81.885,  9.691,-58.900
-77.102, 10.175,-58.242
-71.628, 11.255,-57.665
-68.125, 10.997,-57.255
-66.369,  9.540,-56.909
-62.740,  8.400,-56.534
-58.782,  9.486,-56.089
-53.710, 10.795,-56.257
-50.687, 11.943,-56.389
-48.398, 11.790,-56.353
-46.125, 11.526,-55.885
-45.556, 12.578,-55.226
-42.926, 12.692,-55.133
-38.925, 12.708,-55.041
-36.283, 12.323,-54.522
-34.669, 11.412,-53.739
-29.292, 10.300,-54.279
-24.764, 12.072,-53.935
-21.948, 14.026,-53.129
-18.991, 15.263,-52.097
-15.279, 15.747,-50.927
-11.266, 16.740,-48.480
 -6.531, 18.698,-44.126
 -0.915, 20.876,-44.714
  4.971, 20.897,-46.558
  8.378, 20.742,-47.980
 11.746, 19.973,-48.144
 14.058, 18.880,-47.269
 16.288, 17.900,-46.880
 18.654, 16.476,-46.190
 20.487, 16.034,-45.738
 21.627, 16.052,-44.950
 22.863, 15.679,-43.595
 23.380, 14.667,-42.167
 23.590, 14.697,-41.370
 22.790, 14.487,-41.180
 20.877, 14.127,-41.498
 19.682, 13.517,-41.630
 17.052, 12.912,-41.602
 13.601, 13.067,-41.879
 12.753, 13.073,-41.990
 11.938, 13.133,-41.563
 11.068, 13.007,-40.799
  5.669, 13.195,-41.317
 -2.595, 13.272,-42.886
 -7.526, 12.695,-42.881
 -9.041, 13.061,-42.251
 -9.602, 12.733,-42.156
 13.188,  4.503,-39.950
 16.095,  3.485,-39.619
 19.235,  2.346,-39.519
 13.541,  1.995,-41.561
  6.887,  2.310,-46.138
-31.009, 13.689,-49.748
-21.906, 14.776,-51.118
-20.128, 18.200,-52.556
-19.827, 18.777,-53.278
-17.677, 20.654,-53.243
-14.944, 20.438,-52.648
-11.547, 21.023,-51.826
 -9.717, 21.186,-51.771
 -6.971, 20.972,-51.773
 -3.584, 20.724,-51.700
 -0.700, 21.362,-51.793
  2.848, 21.801,-51.825
  6.311, 21.469,-51.790
  7.787, 21.215,-51.193
  9.153, 19.814,-50.394
 11.307, 19.068,-49.756
 13.617, 19.318,-49.235
 15.980, 20.013,-48.527
 17.522, 19.771,-47.846
 18.058, 19.555,-47.337
 18.836, 18.903,-47.256
 20.941, 17.963,-46.986
 23.420, 17.363,-46.534
 24.925, 16.423,-46.151
 26.654, 15.180,-45.651
 29.478, 14.618,-44.823
 31.225, 13.598,-43.647
 32.126, 12.169,-42.200
 34.692, 11.515,-40.234
 38.286, 11.172,-38.365
 41.877, 10.791,-37.677
 45.431, 10.143,-37.180
 48.070, 10.475,-36.936
 51.112, 10.525,-36.816
 55.195, 10.344,-36.006
 58.103, 11.003,-36.943
 61.286, 11.305,-38.038
 65.461, 11.990,-38.471
 70.895, 12.729,-38.375
 73.500, 12.876,-38.298
 75.587, 13.268,-38.247
 79.181, 14.484,-38.288
 82.679, 15.199,-38.331
 83.920, 15.359,-38.115
 88.513, 15.445,-37.974
-82.517, 16.235,-37.491
-80.132, 15.768,-37.520
-78.937, 14.209,-37.687
-75.578, 13.289,-37.781
