roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.056,  3.410, 21.314
 -0.369,  3.580, 21.587
 -0.760,  3.729, 21.899
 -1.071,  3.889, 22.141
 -1.206,  3.980, 22.313
 -1.289,  4.110, 22.521
 -1.361,  4.260, 22.724
 -1.399,  4.296, 22.859
 -1.508,  4.375, 23.024
 -1.664,  4.432, 23.203
 -1.853,  4.493, 23.382
 -2.051,  4.561, 23.531
 -2.154,  4.522, 23.567
 -2.247,  4.415, 23.581
 -2.405,  4.354, 23.573
 -2.595,  4.452, 23.615
 -2.720,  4.599, 23.797
 -2.836,  4.739, 23.971
 -2.973,  4.867, 24.147
 -3.114,  4.965, 24.309
 -3.221,  5.051, 24.459
 -3.361,  5.260, 24.579
 -3.409,  5.415, 24.675
 -3.406,  5.580, 24.723
 -3.338,  5.673, 24.766
 -3.302,  5.773, 24.835
 -3.266,  5.961, 24.919
 -2.946,  6.142, 24.960
 -2.513,  6.228, 24.978
 -2.409,  6.820, 25.084
 -2.367,  7.072, 25.470
 -2.098,  6.828, 26.148
 -2.038,  6.263, 26.922
 -1.877,  5.098, 27.556
 -1.427,  3.370, 28.027
 -0.903,  1.644, 28.413
  0.073, -0.143, 28.556
  0.698, -1.165, 28.582
  1.293, -2.010, 28.718
  1.823, -2.562, 29.106
  3.009, -3.695, 29.801
  4.975, -5.909, 30.520
  7.124, -7.978, 31.221
  9.161,-10.535, 32.002
 11.688,-13.329, 32.880
 14.396,-16.387, 33.668
 16.586,-19.214, 34.641
 18.644,-22.013, 36.173
 21.236,-24.672, 37.374
 24.236,-27.043, 37.685
 26.626,-29.414, 37.899
 28.381,-31.876, 38.409
 29.933,-34.350, 39.047
 31.673,-36.491, 38.701
 33.270,-37.896, 38.196
 34.614,-39.210, 37.789
 36.545,-41.078, 37.623
 36.905,-42.628, 36.830
 36.722,-43.300, 35.980
 34.663,-42.610, 34.977
 29.622,-42.443, 37.109
 24.781,-41.693, 39.482
 23.122,-44.220, 40.423
 23.675,-48.360, 38.656
 24.463,-50.401, 34.612
 24.196,-52.981, 32.256
 23.584,-55.045, 29.453
 22.339,-56.849, 28.538
 21.539,-60.935, 28.809
 20.911,-65.676, 29.954
 20.250,-70.964, 30.339
 20.330,-76.763, 29.818
 21.627, 55.839, 22.355
 23.917, 51.276, 20.448
 25.317, 47.350, 18.618
 25.803, 43.057, 16.779
 25.240, 37.479, 14.652
 22.964, 33.184, 13.159
 23.953, 28.779, 11.644
 23.669, 24.420,  9.954
 23.109, 20.658,  8.023
 23.188, 17.321,  6.303
 23.605, 14.399,  4.513
 23.409, 12.580,  3.146
 21.314, 10.074,  2.621
 20.380,  7.654,  1.713
 20.413,  5.771,  0.388
 19.479,  4.082, -0.853
 18.734,  1.451, -1.652
 18.939, -1.666, -2.312
 20.538, -5.752, -3.361
 21.601, -9.375, -3.734
 21.907,-12.150, -3.209
 22.374,-14.039, -2.300
 23.541,-13.742, -3.605
 23.333,-13.738, -5.300
 22.611,-14.812, -7.037
 22.155,-16.334, -7.457
 21.657,-19.461, -6.537
 20.958,-23.547, -6.408
 19.693,-27.433, -7.307
 18.606,-31.422, -8.245
 17.674,-35.289, -9.052
 14.946,-38.226, -8.630
 12.584,-40.811, -8.016
 10.961,-42.902, -7.540
 10.593,-42.963, -5.257
 10.249,-43.452, -4.836
  8.966,-43.773, -4.114
  7.280,-44.562, -3.922
  6.344,-45.151, -3.806
  3.925,-45.632, -2.430
  3.296,-45.742, -1.607
  4.061,-44.821, -1.192
  2.387,-44.769,  0.235
 -0.100,-45.218,  1.409
 -1.236,-45.611,  2.570
