roll, pitch, yaw
-31.143, 34.539, 48.341
-31.380, 34.783, 48.472
-31.635, 35.036, 48.595
-31.893, 35.296, 48.713
-32.143, 35.549, 48.842
-32.404, 35.817, 48.962
-32.663, 36.089, 49.084
-32.928, 36.347, 49.195
-33.203, 36.620, 49.318
-33.465, 36.876, 49.434
-33.716, 37.130, 49.547
-33.981, 37.403, 49.665
-34.257, 37.689, 49.783
-34.525, 37.976, 49.899
-34.792, 38.241, 50.017
-35.060, 38.507, 50.123
-35.334, 38.775, 50.241
-35.609, 39.061, 50.358
-35.877, 39.335, 50.464
-36.160, 39.621, 50.572
-36.441, 39.909, 50.682
-36.714, 40.197, 50.788
-36.990, 40.475, 50.896
-37.268, 40.759, 51.003
-37.544, 41.037, 51.098
-37.830, 41.333, 51.201
-38.114, 41.618, 51.303
-38.400, 41.910, 51.397
-41.026, 44.478, 52.193
-41.316, 44.772, 52.299
-41.639, 45.102, 52.407
-41.948, 45.421, 52.495
-42.271, 45.743, 52.582
-42.576, 46.047, 52.675
-42.881, 46.357, 52.771
-43.212, 46.690, 52.854
-43.524, 47.000, 52.937
-43.859, 47.334, 53.018
-44.177, 47.654, 53.095
-44.497, 47.973, 53.173
-44.815, 48.309, 53.249
-45.139, 48.635, 53.327
-45.449, 48.946, 53.414
-45.769, 49.264, 53.488
-46.097, 49.593, 53.558
-46.424, 49.929, 53.636
-46.746, 50.249, 53.714
-47.059, 50.570, 53.784
-47.390, 50.890, 53.859
-47.725, 51.229, 53.927
-48.069, 51.585, 54.001
-48.396, 51.917, 54.074
-48.715, 52.239, 54.134
-49.050, 52.577, 54.198
-49.374, 52.896, 54.271
-49.719, 53.239, 54.349
-50.068, 53.588, 54.410
-50.397, 53.923, 54.475
-50.732, 54.261, 54.540
-51.064, 54.601, 54.602
-51.408, 54.943, 54.664
-51.748, 55.295, 54.714
-52.090, 55.639, 54.769
-52.425, 55.974, 54.839
-52.782, 56.328, 54.886
-53.122, 56.678, 54.947
-53.469, 57.022, 54.994
-53.809, 57.360, 55.046
-54.163, 57.729, 55.094
-54.538, 58.100, 55.142
-54.879, 58.440, 55.189
-55.233, 58.801, 55.230
-55.591, 59.172, 55.279
-55.940, 59.527, 55.322
-56.300, 59.875, 55.356
-56.656, 60.225, 55.399
-56.998, 60.571, 55.436
-57.350, 60.930, 55.478
-57.736, 61.320, 55.515
-58.106, 61.690, 55.549
-58.468, 62.060, 55.585
