id, roll, pitch, yaw
187, -6.751, 13.552, 24.676
188, -5.731, 12.679, 23.695
189, -5.175, 12.202, 22.685
190, -4.217, 11.720, 21.905
191, -2.812, 11.761, 21.948
192, -1.666, 11.869, 21.254
193, -1.840, 11.583, 20.790
194, -2.805, 11.368, 20.188
195, -3.353, 10.741, 19.544
196, -3.619, 10.228, 19.249
197, -3.811,  9.536, 19.036
198, -4.568,  8.890, 18.690
199, -5.388,  8.006, 19.144
200, -6.756,  6.814, 20.506
201, -7.389,  5.686, 21.454
202, -8.161,  4.491, 21.885
203, -9.099,  4.146, 21.905
204, -8.937,  2.956, 22.705
205, -8.544, -0.210, 24.545
206, -4.478, -6.032, 25.620
207, -1.997,-11.091, 26.426
208, -0.928,-14.459, 26.641
209, -0.567,-17.546, 27.055
210, -0.072,-20.405, 27.191
211,  0.641,-23.981, 27.207
212, -0.050,-26.667, 27.074
213, -0.020,-28.791, 26.395
214,  1.149,-31.771, 26.356
215,  3.901,-36.705, 26.091
216,  4.557,-39.773, 26.094
217,  5.736,-42.431, 26.134
218,  7.269,-45.355, 26.200
219,  8.087,-46.109, 26.381
220, 10.913,-46.180, 26.135
221, 10.421,-46.389, 26.089
222,  7.784,-46.752, 25.773
223,  7.412,-48.402, 25.299
224,  8.098,-50.082, 24.968
225,  8.187,-50.952, 24.648
226,  7.615,-52.063, 24.198
227, -1.492, 85.998, 19.345
228, -3.296, 80.917, 18.736
229, -5.356, 76.178, 17.859
230, -6.576, 72.349, 16.303
231, -5.312, 68.462, 15.664
232, -4.557, 62.968, 14.321
233, -3.801, 57.292, 12.546
234, -5.476, 52.551, 12.403
235, -5.731, 48.497, 11.788
236, -5.191, 46.023, 10.208
237, -4.455, 42.880,  9.655
238, -5.287, 39.120, 10.176
239, -4.247, 35.608, 10.063
240, -3.264, 33.171,  9.210
241, -1.320, 31.818,  7.689
242,  0.463, 29.319,  6.580
243,  0.363, 25.866,  6.427
244,  3.141, 23.521,  5.917
245,  5.452, 21.567,  5.243
246,  8.491, 19.007,  4.525
247, 11.744, 15.897,  3.260
248, 14.432, 12.774,  2.370
249, 16.439,  9.699,  1.893
250, 18.067,  8.118,  2.521
251, 18.915,  5.785,  2.085
252, 19.799,  2.177,  0.211
253, 19.888, -1.128, -1.248
254, 20.638, -4.547, -1.459
255, 21.044, -7.473, -2.393
256, 19.922,-11.263, -3.549
