id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.017,  4.494, 12.086
2, -0.066,  4.567, 12.258
3, -0.126,  4.658, 12.471
4, -0.247,  4.771, 12.681
5, -0.399,  4.870, 12.851
6, -0.495,  4.945, 12.996
7, -0.597,  5.080, 13.105
8, -0.675,  5.146, 13.290
9, -0.761,  5.269, 13.463
10, -0.839,  5.339, 13.634
11, -0.906,  5.420, 13.765
12, -0.966,  5.521, 13.890
13, -1.024,  5.598, 14.013
14, -1.083,  5.664, 14.132
15, -1.143,  5.724, 14.258
16, -1.284,  5.819, 14.372
17, -1.468,  5.899, 14.505
18, -1.656,  5.954, 14.645
19, -1.906,  6.028, 14.798
20, -2.145,  6.159, 14.878
21, -2.311,  6.330, 14.874
22, -2.435,  6.498, 14.753
23, -2.546,  6.928, 14.758
24, -2.665,  7.087, 14.829
25, -2.999,  7.253, 14.889
26, -3.356,  7.354, 15.043
27, -3.841,  7.241, 15.311
28, -4.300,  6.534, 15.861
29, -4.239,  5.592, 16.504
30, -3.906,  4.347, 17.238
31, -3.126,  2.722, 17.818
32, -2.059,  1.150, 18.333
33, -0.746, -0.620, 18.756
34,  0.552, -2.702, 19.351
35,  2.029, -5.554, 20.076
36,  3.312, -8.254, 20.949
37,  4.961,-10.752, 21.839
38,  6.879,-13.313, 22.572
39,  8.736,-15.371, 22.883
40, 10.187,-17.361, 22.986
41, 12.047,-19.173, 23.004
42, 13.787,-20.453, 23.143
43, 15.210,-21.685, 23.018
44, 15.548,-22.325, 23.382
45, 15.683,-23.166, 23.546
46, 15.688,-24.052, 23.523
47, 16.116,-25.154, 23.673
48, 17.392,-26.477, 23.688
49, 19.422,-28.274, 24.030
50, 19.063,-32.139, 22.672
51, 19.130,-33.933, 20.596
52, 18.480,-35.181, 18.463
53, 18.064,-36.334, 17.084
54, 18.529,-38.708, 18.692
55, 18.803,-41.757, 19.915
56, 18.616,-45.450, 19.838
57, 19.660,-49.569, 19.037
58, 20.536,-53.314, 18.398
59, 21.292,-56.870, 18.062
60, 21.256,-60.159, 17.483
61, 20.774,-63.216, 17.233
62, 19.359,-66.009, 16.838
63, 17.834,-68.974, 16.300
64, 17.816,-72.480, 15.737
65, 20.362,-77.162, 13.793
66, 20.166,-81.170, 12.569
67, 19.528,-85.665, 10.920
68, 18.767,-88.872, 10.536
69, 18.052, 88.018, 10.714
70, 17.127, 86.512, 10.924
71, 16.780, 85.745, 11.556
72, 16.205, 86.018, 12.184
73, 14.970, 86.933, 12.555
74, 15.219, 84.698, 11.755
75,  8.195, 78.511, 14.591
76,  6.578, 77.424, 14.246
77,  4.079, 76.252, 13.109
78,  2.310, 75.404, 12.181
79,  1.396, 74.481, 11.746
80,  0.851, 73.049, 11.156
81,  0.815, 70.997, 10.531
82,  1.823, 67.875,  9.591
83,  8.815, 57.300,  8.586
84, 11.160, 52.323,  7.831
85, 12.706, 49.279,  7.045
86, 14.472, 46.153,  6.050
87, 15.694, 41.691,  4.663
