roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.063, -4.871,  6.577
 -0.280, -4.756,  6.781
 -0.416, -4.651,  6.971
 -0.598, -4.560,  7.168
 -0.768, -4.484,  7.361
 -0.866, -4.376,  7.548
 -0.998, -4.269,  7.714
 -1.114, -4.163,  7.897
 -1.252, -4.068,  8.070
 -1.390, -3.978,  8.246
 -1.455, -3.904,  8.433
 -1.502, -3.784,  8.660
 -1.231, -3.613,  8.781
 -0.414, -3.545,  8.868
  8.591, -3.292,  7.196
  7.074, -3.207,  7.821
  1.276, -3.435,  9.396
  0.774, -2.900,  9.189
  0.620, -1.830,  8.941
  2.632, -0.721,  7.744
  5.481, -0.453,  7.402
 11.815, -0.716,  7.102
 23.041, -1.801,  7.837
 22.621,  0.211,  5.163
 24.774,  0.178,  0.601
 26.934,  0.240, -4.065
 26.342,  0.114, -8.308
 23.809, -0.389,-12.374
 22.222, -0.609,-16.215
 21.203, -0.453,-20.581
 18.884, -1.413,-25.683
 16.284, -2.715,-30.331
 14.573, -3.583,-33.672
 12.400, -5.021,-37.763
  9.986, -6.885,-40.859
  7.056, -9.316,-43.865
  3.712,-12.562,-47.264
 -0.284,-15.882,-50.171
 -3.997,-18.739,-53.929
 -5.697,-19.911,-60.691
 -4.728,-19.661,-67.761
 -5.855,-21.841,-75.158
-15.984,-32.120,-78.410
-18.513,-35.243,-77.705
-26.176,-43.664,-80.561
-37.304,-55.916,-82.421
-43.020,-62.242,-83.031
-46.361,-66.277,-83.477
-50.776,-71.690,-84.166
-61.516,-84.753,-86.578
 42.538, 17.657,-85.038
 20.949, -5.609,-78.886
 14.502,-12.804,-74.173
 12.149,-16.177,-69.761
 11.528,-17.875,-65.025
 11.911,-18.819,-60.635
 12.726,-19.295,-57.131
 13.743,-19.159,-54.150
 14.125,-19.497,-50.644
 14.326,-20.405,-45.391
 13.854,-21.282,-40.244
 13.728,-22.399,-36.062
 13.295,-22.520,-32.544
 12.981,-22.688,-28.787
 13.353,-22.799,-26.947
 13.281,-22.761,-23.594
 13.147,-22.793,-20.119
 13.597,-22.635,-17.913
 14.086,-23.085,-15.920
 14.237,-23.235,-12.623
 14.461,-23.107, -9.866
 14.647,-22.771, -7.560
 14.903,-22.300, -5.069
 15.248,-21.979, -2.438
 15.051,-22.135,  0.699
 14.683,-22.522,  4.028
 14.327,-23.017,  7.161
 13.889,-24.019, 10.692
 13.523,-25.073, 14.063
 13.198,-26.418, 17.536
 12.960,-27.906, 20.826
 13.029,-29.509, 24.452
 14.327,-31.657, 27.498
 16.499,-34.393, 30.739
 21.686,-37.326, 32.864
 41.451,-60.756, 51.868
 45.455,-64.898, 53.684
 48.680,-68.271, 55.106
 52.323,-72.258, 56.615
 57.533,-77.912, 58.290
 63.525,-84.055, 59.627
 68.956,-89.585, 60.551
 74.730, 84.382, 60.976
 80.177, 78.790, 60.866
 84.253, 73.709, 60.255
 87.678, 69.630, 59.534
-88.820, 66.286, 58.982
-85.513, 63.226, 58.173
-83.452, 61.082, 57.554
-81.186, 58.293, 56.489
-78.446, 54.889, 55.026
-76.619, 52.815, 53.932
-75.339, 50.949, 52.908
-73.591, 49.250, 51.518
-72.436, 47.690, 50.161
-71.655, 45.961, 48.452
-71.300, 44.033, 46.189
-70.453, 42.169, 43.753
-70.136, 41.042, 41.754
-70.472, 40.040, 40.206
-69.044, 39.312, 37.439
-69.497, 38.710, 35.024
-68.378, 38.486, 32.546
-65.929, 37.804, 30.457
-63.697, 36.489, 28.532
-61.639, 33.430, 23.674
-59.655, 31.079, 22.177
-58.528, 28.743, 21.051
-56.212, 26.779, 18.539
-52.622, 25.422, 16.245
-48.233, 23.438, 13.894
-37.761, 19.560,  8.245
-36.041, 14.508,  3.989
-32.392, 13.415,  2.536
-29.507, 13.577,  2.164
-27.563, 12.124,  1.127
-23.907, 11.588, -0.568
-22.447, 10.427, -2.005
-21.839,  8.974, -2.989
-21.471,  7.707, -4.163
-21.291,  6.768, -5.224
-20.270,  6.238, -6.583
-18.616,  5.841, -8.277
-16.479,  5.010,-10.379
-14.237,  3.813,-13.023
-13.803,  3.292,-14.997
-13.047,  3.282,-16.385
-11.633,  3.013,-17.652
-10.576,  3.090,-18.914
 -9.447,  3.350,-20.451
 -8.450,  3.269,-22.277
 -7.618,  3.068,-23.994
 -7.660,  2.988,-25.756
 -7.837,  2.682,-27.409
 -7.568,  2.080,-28.983
 -7.169,  1.684,-30.298
 -6.913,  2.008,-30.664
 -6.931,  2.454,-30.459
 -7.118,  2.312,-30.459
 -6.683,  2.416,-30.960
 -6.113,  2.781,-31.132
 -5.606,  2.938,-31.445
 -5.577,  3.019,-31.296
 -5.426,  3.206,-32.544
 -4.398,  5.042,-32.962
 -4.633,  3.190,-34.998
 -5.166,  1.623,-36.454
 -4.728,  1.986,-36.320
 -4.113,  2.211,-36.463
 -2.650,  3.685,-38.508
 -2.397,  4.922,-39.870
 -2.354,  5.346,-40.219
 -1.868,  6.151,-39.724
 -0.881,  6.781,-39.773
  1.086,  8.595,-41.304
 -1.514,  6.027,-42.209
-70.638,-60.644,-73.825
-55.393,-44.885,-69.483
-49.821,-40.764,-67.796
-50.862,-43.881,-71.010
-49.853,-44.254,-73.798
-44.743,-39.833,-74.897
-39.209,-32.948,-72.987
-31.792,-26.927,-69.565
-24.719,-23.563,-70.032
-18.719,-21.479,-71.376
-18.159,-17.569,-69.372
-15.752,-14.530,-65.871
-14.798,-12.000,-63.219
-10.117, -5.471,-62.490
 -8.603, -3.926,-61.618
 -9.316, -5.873,-60.964
 -7.524, -4.898,-61.615
 -4.542, -2.166,-62.199
 -5.961, -1.621,-59.535
-10.533, -2.408,-56.174
 -9.969, -0.089,-53.081
-10.295,  0.298,-52.057
-10.046, -0.056,-53.113
-10.190,  0.857,-52.001
 -9.540,  2.733,-49.685
 -9.101,  4.370,-48.150
 -9.947,  5.664,-45.357
-10.550,  5.969,-43.376
-10.017,  7.223,-42.394
 -7.790, 10.550,-41.506
 -5.411, 15.100,-41.286
 -2.668, 21.562,-40.407
  1.523, 32.546,-38.588
  8.960, 48.689,-34.268
-32.684, 49.852,-35.655
-28.432, 43.170,-37.121
-29.052, 31.607,-28.499
-34.303, 21.145,-18.380
-31.798, 13.877,-11.085
-39.527,  6.930, -5.572
-41.418, -0.603,  0.050
-31.488, -5.814,  6.763
-29.550,-10.505, 12.869
-29.004,-12.292, 17.767
-31.309, -9.207, 14.715
-40.401, -3.394, 10.091
-41.033,  1.376,  3.389
-43.159,  7.025, -3.498
-48.853, 12.673, -9.607
-51.924, 17.522,-14.300
-54.831, 21.204,-17.762
-57.145, 23.437,-20.170
-56.959, 23.671,-20.445
-73.983, 20.949,-19.670
-63.662, 14.778,-19.212
-49.416,  9.762,-16.987
-57.257,  5.288,-11.104
