id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.000, 10.792, 18.095
2, -0.067, 10.918, 18.246
3, -0.126, 11.021, 18.414
4, -0.151, 11.034, 18.539
5, -0.316, 10.853, 18.689
6, -0.631, 10.828, 18.886
7, -0.704, 10.886, 19.075
8, -0.784, 10.963, 19.277
9, -0.845, 11.039, 19.496
10, -0.945, 11.098, 19.682
11, -1.010, 11.178, 19.869
12, -1.137, 11.285, 20.050
13, -1.129, 11.391, 20.211
14, -0.918, 11.433, 20.345
15, -0.838, 11.513, 20.462
16, -0.483, 11.589, 20.527
17, -0.005, 12.170, 20.364
18,  0.305, 12.879, 19.825
19,  0.773, 13.347, 18.925
20,  0.772, 14.572, 17.603
21,  1.122, 15.575, 16.310
22,  0.696, 16.600, 15.344
23,  0.537, 17.000, 14.718
24,  0.622, 17.481, 13.884
25,  0.240, 18.068, 12.971
26, -0.344, 18.649, 11.739
27, -0.377, 18.819, 10.710
28, -0.238, 18.927,  9.803
29,  0.134, 18.834,  8.821
30,  0.130, 19.156,  7.564
31,  0.064, 19.607,  6.220
32,  0.429, 19.583,  5.114
33,  0.788, 19.460,  4.104
34,  0.561, 19.645,  2.996
35,  0.156, 19.880,  2.331
36,  0.011, 20.037,  1.539
37, -0.099, 20.303,  0.791
38, -0.115, 20.676, -0.098
39, -0.098, 20.957, -1.129
40, -0.153, 21.186, -2.189
41, -0.403, 21.629, -3.191
42, -0.636, 21.858, -4.181
43, -0.443, 21.969, -4.966
44, -0.017, 22.001, -5.429
45, -0.150, 21.265, -7.476
46, -1.080, 21.361,-10.079
47, -1.904, 21.251,-11.468
48, -0.902, 21.550,-12.874
49, -0.871, 20.737,-14.882
50, -0.861, 20.948,-18.910
51, -0.638, 21.115,-22.621
52, -0.070, 20.915,-25.415
53,  1.245, 19.482,-27.652
54,  3.961, 17.536,-30.616
55,  5.203, 16.327,-33.448
56,  5.009, 16.032,-36.620
57,  4.217, 15.677,-39.824
58,  3.081, 15.096,-43.529
59,  1.846, 13.824,-47.499
60,  0.654, 12.115,-52.314
61, -1.011, 10.462,-55.542
62, -2.551,  8.205,-58.231
63, -4.781,  4.925,-63.381
64, -7.304,  1.327,-69.122
65, -9.184, -0.951,-73.636
66,-13.044, -5.059,-77.767
67,-22.831,-15.014,-80.918
68,-17.381,-19.494,-59.977
69,-19.189,-21.099,-58.279
70,-23.049,-22.978,-55.103
71,-23.519,-23.049,-53.962
72,-24.572,-23.103,-51.435
73,-25.390,-23.392,-49.624
74,-26.270,-23.593,-48.307
75,-27.384,-23.978,-47.107
76,-27.647,-24.367,-46.105
77,-27.946,-24.792,-45.230
78,-28.263,-25.660,-44.202
79,-28.587,-27.014,-43.182
80,-30.684,-29.770,-37.490
81,-32.122,-33.233,-31.579
82,-32.146,-38.368,-27.537
