roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.012,  1.054, 13.099
 -0.075,  1.188, 13.272
 -0.148,  1.315, 13.459
 -0.220,  1.431, 13.646
 -0.319,  1.587, 13.817
 -0.423,  1.732, 13.971
 -0.523,  1.839, 14.102
 -0.656,  1.965, 14.283
 -0.764,  2.068, 14.460
 -0.876,  2.184, 14.638
 -0.981,  2.282, 14.821
 -1.120,  2.347, 14.973
 -1.309,  2.377, 15.079
 -1.518,  2.407, 15.208
 -1.738,  2.488, 15.372
 -1.849,  2.617, 15.547
 -1.959,  2.736, 15.721
 -2.071,  2.855, 15.894
 -2.178,  2.982, 16.068
 -2.297,  3.109, 16.254
 -2.416,  3.239, 16.431
 -2.534,  3.379, 16.616
 -2.628,  3.522, 16.800
 -2.713,  3.654, 16.982
 -2.799,  3.801, 17.165
 -2.899,  3.961, 17.332
 -3.020,  4.157, 17.502
 -3.161,  4.376, 17.699
 -3.231,  4.536, 17.883
 -3.125,  4.485, 18.025
 -2.960,  4.192, 18.412
 -2.844,  3.826, 18.808
 -2.660,  3.263, 19.795
 -1.740,  2.399, 20.988
 -1.125,  1.577, 22.194
 -0.690,  0.857, 23.370
  0.383, -0.197, 24.486
  2.210, -1.397, 25.141
  4.250, -2.699, 25.839
  5.522, -3.915, 26.608
  6.100, -5.033, 27.749
  7.569, -6.502, 28.664
  9.903, -8.581, 29.201
 11.791,-10.296, 29.785
 13.286,-11.879, 30.510
 14.781,-13.567, 31.238
 16.814,-15.391, 31.747
 18.171,-17.278, 32.137
 18.734,-18.967, 32.699
 18.618,-20.735, 33.275
 19.229,-22.245, 33.474
 19.843,-23.382, 33.342
 15.855,-24.406, 32.976
 12.702,-24.265, 32.068
  7.244,-22.916, 30.487
  2.628,-20.440, 30.614
 -4.127,-19.286, 32.243
 -4.159,-20.789, 33.220
 -4.448,-23.888, 33.912
 -6.586,-26.934, 34.835
 -8.192,-29.744, 36.067
 -8.809,-32.639, 37.147
 -4.566,-38.117, 36.800
 -1.276,-44.193, 36.146
  1.770,-50.188, 35.637
  1.963,-52.175, 36.444
  0.736,-53.923, 37.202
  1.651,-56.839, 38.537
  3.894,-60.550, 39.996
 39.383, 63.855, 24.370
 42.449, 60.544, 20.867
 43.723, 58.918, 18.514
 43.526, 56.080, 16.079
 43.147, 52.632, 13.408
 42.621, 49.641, 11.401
 43.459, 46.029,  9.804
 44.057, 43.372,  8.891
 44.339, 40.879,  7.003
 44.422, 38.215,  5.320
 45.354, 35.536,  3.608
 46.771, 32.250,  0.632
 46.842, 30.777, -1.351
 39.007, 29.592, -4.926
 34.286, 25.438,-15.921
 34.116, 18.753,-28.899
 34.584, 14.749,-37.473
 31.548,  9.271,-43.703
 27.444,  5.957,-43.669
 23.727,  3.230,-41.903
 21.073,  0.537,-38.901
 18.376, -1.911,-36.840
 15.019, -4.753,-37.979
 11.013, -8.746,-38.621
  8.896,-13.113,-37.208
  6.539,-18.140,-36.248
  3.344,-23.768,-35.967
  0.048,-30.107,-35.952
 -4.158,-34.420,-35.056
 -5.260,-37.078,-33.950
 -5.510,-39.230,-32.841
 -5.012,-41.649,-29.874
 -7.898,-42.924,-29.911
-11.612,-44.565,-30.129
-13.445,-46.162,-31.034
-14.161,-46.328,-31.081
-12.974,-47.271,-30.523
-13.795,-48.599,-32.432
-15.925,-49.999,-33.575
-16.734,-50.975,-30.832
-18.056,-51.829,-29.716
-20.232,-53.155,-28.494
-20.188,-52.142,-28.363
-19.503,-54.706,-28.808
-20.276,-57.780,-28.928
-21.825,-60.725,-28.874
-23.628,-63.726,-27.600
-25.190,-65.048,-25.474
-25.719,-67.268,-23.469
-26.088,-69.636,-22.031
-27.626,-72.524,-20.701
-29.657,-75.354,-19.489
-31.907,-78.365,-18.126
-33.798,-81.307,-15.734
-36.722,-83.899,-12.975
-39.543,-86.938, -9.531
-43.193,-89.790, -6.427
-47.943, 87.475, -3.016
-50.142, 83.627, -0.300
-53.745, 80.267,  2.893
-57.836, 78.761,  6.314
-60.025, 76.793,  9.220
-61.326, 74.143, 12.445
-61.250, 71.161, 15.606
-61.635, 68.379, 19.306
-62.337, 66.573, 22.748
-61.841, 64.000, 25.828
-61.778, 61.062, 27.888
-58.676, 57.416, 29.473
-57.256, 54.949, 30.847
-56.574, 52.068, 32.223
-53.534, 48.716, 33.354
-49.956, 46.475, 34.550
-47.266, 43.164, 35.639
-46.800, 40.541, 37.809
-48.711, 37.937, 40.196
-49.049, 34.447, 42.630
-48.804, 31.537, 44.792
-46.196, 28.238, 46.261
-42.048, 24.570, 47.719
-26.237, 15.048, 51.204
-23.888, 13.448, 52.196
-21.555, 11.643, 52.256
-19.457,  9.554, 53.188
-17.706,  9.152, 54.146
-15.133,  7.668, 53.648
-12.641,  6.312, 53.349
-10.830,  3.780, 53.584
 -7.861,  1.478, 54.114
 -5.652, -0.862, 54.330
 -3.708, -4.146, 55.303
 -1.786, -7.694, 56.038
 -0.269, -9.928, 57.169
  1.056,-11.639, 57.867
  2.360,-13.745, 58.694
  2.644,-15.887, 59.718
  3.526,-17.923, 60.601
  5.571,-19.725, 61.428
 10.488,-22.251, 62.695
 14.277,-24.791, 63.668
 15.825,-26.433, 64.533
 14.193,-26.862, 65.758
 11.865,-27.557, 66.931
 15.706,-34.340, 67.697
 17.633,-38.385, 67.749
 14.997,-35.251, 66.057
 11.460,-32.013, 62.353
  9.755,-31.592, 58.975
  9.472,-32.865, 58.490
  9.124,-34.264, 57.962
  9.764,-35.291, 58.099
  8.094,-34.067, 57.571
  6.427,-32.993, 56.013
  6.757,-33.892, 57.230
  9.573,-37.144, 58.675
 12.883,-42.391, 57.695
 17.272,-48.699, 56.627
 21.760,-55.601, 55.322
 26.429,-62.789, 53.091
 31.294,-71.046, 50.607
 36.352,-79.195, 47.880
 39.359,-85.726, 44.956
 42.299, 89.424, 42.295
 45.448, 85.262, 39.445
 45.198, 81.518, 36.380
 48.572, 78.369, 33.594
 54.260, 75.903, 30.751
 54.230, 74.525, 27.681
 57.105, 72.652, 24.006
 57.160, 70.666, 20.248
 57.847, 69.548, 17.978
 56.396, 67.621, 17.603
 56.501, 66.160, 17.387
 56.556, 64.240, 16.878
 57.093, 60.989, 15.201
 57.170, 57.504, 14.442
 56.163, 55.286, 14.004
 56.536, 53.651, 12.373
 56.907, 51.889, 10.342
 56.911, 49.475,  8.515
 57.107, 47.090,  7.324
 57.718, 44.903,  6.139
 58.010, 42.276,  4.052
 58.107, 39.643,  1.775
 57.547, 36.461, -0.507
 56.900, 33.056, -2.696
 55.511, 29.660, -4.561
 55.106, 26.692, -6.281
 57.678, 20.710, -7.114
 54.969, 17.452, -7.675
 52.841, 15.481, -9.108
 51.642, 14.108,-11.350
 50.518, 13.309,-12.288
 49.638, 12.357,-12.981
 48.794, 11.007,-13.617
 47.365,  9.481,-13.363
 46.063,  9.011,-13.178
 45.291,  8.421,-12.568
 44.700,  8.532,-12.317
 44.390, 10.042,-13.368
 43.671, 13.169,-14.959
 67.043,  6.072,-31.951
 65.661,  3.589,-32.662
 65.645,  0.751,-33.906
 68.990, -0.368,-35.035
 76.642, -0.534,-35.213
 75.855, -1.814,-35.009
 75.582, -2.063,-36.649
 81.324, -1.566,-37.927
 83.485,  0.236,-43.374
 79.892, -1.479,-45.663
 76.891, -2.703,-46.336
 72.834, -4.089,-46.914
 66.372, -6.726,-48.009
 60.568, -9.227,-48.230
 56.129,-11.248,-48.100
 52.224,-13.318,-48.368
 47.588,-15.946,-49.407
 42.600,-18.358,-50.020
 41.467,-19.762,-49.619
 37.997,-21.665,-47.737
 35.942,-22.318,-47.120
 35.302,-22.571,-46.776
 35.263,-22.795,-47.135
 35.826,-21.972,-46.587
 37.548,-19.068,-46.211
 36.171,-19.714,-47.402
 35.230,-20.605,-47.795
 34.446,-21.073,-48.815
 34.614,-20.950,-49.326
 33.780,-21.660,-49.174
 31.860,-23.323,-48.272
 29.545,-26.058,-47.876
 27.706,-28.046,-47.654
 24.814,-31.291,-48.505
 20.752,-36.277,-49.625
 16.241,-41.585,-50.116
 12.042,-46.811,-49.939
  5.933,-53.463,-48.514
  0.570,-59.040,-46.619
 -4.056,-64.734,-44.314
 -7.756,-71.475,-40.598
 -9.681,-77.189,-37.057
 -9.452,-80.068,-34.155
 -9.004,-82.000,-31.518
 -9.546,-82.664,-29.609
-10.625,-82.762,-28.151
