id, roll, pitch, yaw
187, 17.514,-71.654, -4.459
188, 19.949,-73.915, -6.971
189, 19.689,-77.329, -7.589
190, 15.617,-81.642, -6.691
191, 13.939,-85.417, -6.689
192, 14.308,-89.879, -7.742
193, 19.446, 87.700,-10.043
194, 17.704, 79.777, -9.389
195, 14.953, 71.466, -7.931
196, 13.637, 65.594, -8.511
197, 14.553, 61.225,-10.431
198, 17.535, 57.945,-11.792
199, 17.437, 54.402,-12.137
200, 16.515, 50.699,-12.397
201, 15.244, 42.625,-12.194
202, 13.727, 36.671,-12.880
203, 11.700, 34.182,-12.864
204, 10.948, 33.157,-12.996
205,  9.172, 33.383,-13.497
206,  4.038, 28.342,-15.449
207,  2.853, 22.497,-16.686
208,  1.849, 18.304,-16.527
209,  0.131, 14.540,-15.602
210, -1.487, 11.039,-14.348
211, -3.424,  7.494,-12.853
212, -5.812,  4.354,-11.164
213, -8.548,  2.245,-10.037
214,-11.206,  1.282, -8.686
215,-13.692,  1.255, -6.720
216,-13.381,  2.821, -3.548
217,-11.148,  6.919,  1.080
218,-10.122, 11.533,  5.042
219,-22.783,  4.959, 12.124
220,-23.138,  5.098, 11.964
221,-23.771,  4.768, 12.061
222,-24.162,  4.192, 12.219
223,-24.410,  3.255, 12.239
224,-24.215,  2.119, 12.361
225,-23.633,  1.005, 12.235
226,-23.491,  0.028, 12.279
227,-23.856, -0.589, 12.693
228,-24.203, -2.446, 14.262
229,-23.615, -3.907, 14.733
230,-21.097, -5.299, 14.160
231,-18.857, -6.413, 13.670
232,-18.355, -4.337, 16.311
233,-18.950, -4.147, 18.991
234,-17.266, -4.776, 22.003
235,-14.473, -6.050, 23.909
236,-11.751, -9.195, 25.255
237, -7.998,-13.779, 26.389
238, -3.238,-19.135, 26.924
239,  0.894,-24.221, 27.674
240,  3.041,-25.340, 28.989
241,  4.836,-25.991, 29.606
242,  7.526,-28.756, 29.348
243, 10.465,-32.517, 26.886
244, 11.306,-35.881, 23.716
245, 11.544,-36.451, 22.153
246, 12.597,-40.155, 20.187
247, 12.233,-44.185, 18.227
248, 11.743,-47.236, 17.457
249, 10.933,-49.129, 17.550
250,  9.732,-52.405, 17.334
251,  7.336,-56.068, 17.462
252,  5.647,-59.166, 16.716
253,  5.046,-62.469, 15.840
254,  3.655,-66.485, 16.062
255,  1.873,-70.435, 16.749
256,  0.849,-74.532, 16.940
257,  0.088,-79.405, 16.798
258, -1.632,-83.277, 16.343
259, -3.948,-86.884, 16.736
260, -5.266, 88.299, 16.757
261, -5.437, 84.228, 16.666
262, -5.793, 80.350, 16.782
263, -6.255, 77.650, 17.312
264, -6.975, 75.464, 17.987
265, -7.332, 73.918, 18.392
266, -7.493, 73.190, 18.572
267,-10.001, 70.928, 19.991
268,-10.947, 70.134, 21.336
269,-11.901, 70.175, 22.439
270,-10.445, 68.896, 22.268
271, -9.354, 66.815, 23.628
272, -8.258, 64.253, 24.834
273, -5.859, 61.127, 24.727
274, -4.484, 59.536, 24.852
275, -3.583, 58.509, 23.827
276, -2.237, 58.752, 22.467
277, -0.618, 58.667, 21.874
278,  0.397, 57.986, 21.499
279,  1.501, 56.604, 20.767
280,  2.198, 55.048, 19.714
281,  1.488, 54.111, 18.611
282, -0.830, 53.343, 18.243
283, -2.243, 53.110, 18.002
284, -1.245, 51.983, 16.378
285,  3.556, 49.410, 13.627
286,  1.899, 40.518, 19.187
287,  2.316, 39.225, 19.287
288,  2.209, 37.846, 19.523
289,  1.867, 36.587, 19.456
290, -0.238, 35.295, 19.656
291, -3.182, 32.881, 19.169
292, -3.049, 28.475, 18.336
293, -4.099, 25.443, 17.326
294, -4.010, 22.606, 16.214
295, -2.827, 20.290, 15.202
296, -0.117, 17.386, 14.217
297,  2.077, 15.115, 12.862
298,  4.096, 12.640, 12.040
299,  4.405, 10.545, 11.550
300,  4.505,  8.132, 11.131
301,  6.046,  4.649, 10.280
302,  6.664,  1.485,  8.935
303,  6.957,  0.311,  8.210
304,  6.682, -1.325,  7.349
305,  6.175, -2.981,  6.803
306,  5.242, -5.142,  7.159
307,  5.379, -6.408,  7.374
308,  6.979, -8.544,  6.533
309,  9.059,-10.671,  5.721
310, 10.335,-11.721,  5.479
311, 11.564,-13.424,  5.234
312, 12.606,-14.646,  5.645
313, 15.565,-15.550,  6.492
314, 16.950,-17.435,  7.024
315, 16.373,-19.162,  8.678
316, 16.156,-20.828, 10.392
317, 15.998,-21.492, 11.259
318, 17.301,-23.007, 11.966
319, 17.840,-25.437, 12.723
320, 16.517,-27.619, 14.081
321, 14.809,-30.038, 15.542
322, 13.313,-30.837, 16.144
323, 14.848,-32.245, 14.906
324, 17.543,-34.322, 13.046
325, 20.785,-36.049, 11.425
326, 22.509,-36.961,  9.700
327, 23.163,-37.677,  8.283
328, 24.506,-40.811,  5.894
329, 23.929,-43.343,  5.612
330, 22.093,-45.208,  6.054
331, 21.829,-46.943,  5.214
332, 22.156,-49.080,  3.542
333, 20.670,-52.189,  2.300
334, 18.897,-55.479,  1.341
335, 17.011,-58.792, -0.142
336, 16.165,-61.450, -2.234
337, 16.046,-64.558, -4.459
338, 14.236,-68.677, -5.959
339, 12.326,-71.897, -7.060
340, 11.862,-74.831, -8.925
341, 11.453,-77.506,-10.644
342,  9.410,-79.480,-11.450
343,  7.850,-81.068,-13.707
344, 10.039,-84.034,-16.462
345, 11.598,-86.152,-17.796
346,  9.540,-86.442,-16.665
347, 10.035,-85.551,-16.328
348, 10.361,-84.533,-16.759
349, 11.098,-86.018,-18.476
