id, roll, pitch, yaw
187,-18.279,  2.984,  3.950
188,-13.127,  3.252,  4.111
189, -8.458,  3.680,  3.824
190, -3.337,  3.502,  3.613
191,  1.021,  3.174,  3.632
192,  5.077,  3.232,  3.913
193,  8.778,  3.727,  3.538
194, 11.684,  4.425,  3.755
195, 14.533,  4.754,  3.646
196, 16.659,  5.199,  3.518
197, 18.594,  5.240,  3.192
198, 20.113,  5.458,  3.054
199, 21.236,  6.092,  3.088
200, 21.703,  6.559,  3.154
201, 21.741,  7.513,  2.518
202, 24.286,  8.960,  1.819
203, 27.105, 10.205,  1.722
204, 30.069, 11.060,  2.124
205, 33.011, 11.436,  2.555
206, 69.301, 19.423,  1.310
207, 73.232, 20.281,  1.106
208, 77.548, 20.332,  0.598
209, 82.171, 19.715, -0.193
210, 87.737, 18.633, -0.767
211,-87.699, 18.213, -1.222
212,-82.531, 18.812, -1.925
213,-75.338, 20.595, -2.605
214,-68.659, 21.634, -2.660
215,-63.536, 22.719, -1.564
216,-59.499, 23.691, -1.349
217,-55.685, 24.643, -1.792
218,-51.991, 25.428, -1.891
219,-49.231, 25.752, -2.246
220,-46.322, 26.191, -2.747
221,-43.568, 26.464, -2.894
222,-42.052, 26.908, -3.400
223,-39.954, 27.586, -3.878
224,-37.180, 27.430, -3.801
225,-33.598, 27.275, -4.093
226,-30.206, 27.066, -4.011
227,-28.217, 26.726, -4.134
228,-25.849, 26.809, -4.386
229,-22.999, 26.849, -4.006
230,-21.011, 26.971, -3.640
231,-19.840, 27.352, -3.700
232,-18.602, 26.880, -3.706
233,-17.016, 25.991, -4.129
234,-16.241, 25.382, -4.840
235,-15.201, 24.848, -6.128
236,-14.484, 23.787, -6.908
237,-14.591, 22.785, -7.323
238,-15.678, 21.848, -7.636
239,-16.421, 20.895, -7.568
240,-17.440, 19.986, -7.867
241,-17.697, 19.239, -7.712
242,-17.361, 18.355, -7.623
243,-14.210, 17.530, -7.845
244,-10.468, 16.745, -7.835
245, -7.698, 15.980, -8.183
246, -4.147, 15.286, -8.250
247, -0.293, 14.539, -8.262
248,  2.912, 13.707, -8.423
249,  9.383, 13.147, -8.689
250, 17.369, 12.171, -8.568
251, 25.629, 11.196, -8.243
252, 32.492, 10.983, -8.433
253, 37.478, 11.019, -8.460
254, 39.586, 11.243, -8.123
255, 41.912, 11.890, -7.815
256, 46.471, 12.636, -7.478
257, 51.544, 12.457, -6.628
258, 55.534, 11.687, -6.823
259, 60.278, 11.008, -6.939
260, 63.712, 11.127, -6.915
261, 67.557, 11.648, -6.240
262, 70.545, 12.308, -6.173
263, 74.445, 12.081, -6.687
264, 78.525, 12.045, -6.532
265, 82.098, 12.519, -6.415
266, 85.009, 13.727, -6.805
267, 88.162, 15.311, -7.507
268,-87.172, 17.322, -7.709
269,-81.310, 19.568, -7.244
270,-78.242, 20.388, -7.427
271,-75.720, 21.199, -7.274
272,-72.416, 22.104, -6.673
273,-69.458, 22.368, -6.430
274,-66.305, 22.560, -6.359
275,-62.029, 22.900, -5.745
276,-58.734, 23.237, -5.613
277,-54.834, 23.666, -5.216
278,-51.652, 24.159, -4.524
279,-48.833, 24.549, -3.904
280,-19.478, 22.786, -2.695
281,-13.587, 21.763, -2.375
282, -7.660, 21.050, -1.755
283, -3.325, 20.307, -1.633
284, -0.221, 19.756, -1.443
285,  0.697, 19.517, -1.603
286,  1.597, 19.354, -1.893
287,  5.329, 19.354, -1.492
288,  9.524, 18.918, -1.211
289, 13.966, 17.817, -1.944
290, 17.691, 17.140, -2.115
291, 23.325, 16.466, -1.040
292, 26.967, 15.978,  0.747
293, 29.213, 15.291,  2.085
294, 31.344, 13.884,  2.407
295, 33.914, 12.881,  1.912
296, 36.466, 12.303,  1.256
297, 40.613, 12.678,  0.578
298, 43.671, 13.540, -0.039
299, 45.501, 14.009, -0.775
300, 49.374, 13.954, -1.022
301, 54.205, 13.847, -1.236
302, 59.839, 13.824, -1.446
303, 63.382, 13.759, -2.161
304, 66.744, 13.502, -3.088
305, 72.121, 13.697, -3.225
306, 75.629, 13.446, -3.445
307, 78.259, 13.133, -3.703
308, 81.689, 12.815, -4.061
309, 84.131, 12.581, -4.107
310, 86.496, 12.847, -3.715
311, 89.450, 12.981, -2.948
312,-88.036, 12.692, -2.552
313,-85.821, 12.216, -2.490
314,-83.625, 11.743, -2.784
315,-80.692, 11.682, -2.524
316,-78.155, 11.853, -2.109
317,-75.982, 12.041, -1.697
318,-74.345, 12.161, -1.495
319,-73.010, 12.474, -1.755
320,-70.688, 12.618, -2.250
321,-68.575, 12.717, -2.683
322,-66.271, 13.412, -2.785
323,-63.994, 14.803, -2.785
324,-61.738, 16.051, -1.599
325,-58.881, 17.303,  0.428
326,-57.133, 18.410,  1.806
327,-57.226, 18.921,  2.088
328,-58.655, 18.627,  1.575
329,-60.573, 17.771,  1.916
330,-62.608, 16.873,  3.172
331,-63.271, 16.903,  4.035
332,-63.586, 16.690,  4.259
333,-64.550, 16.371,  3.793
334,-65.029, 15.984,  3.476
335,-64.903, 15.867,  3.322
336,-64.412, 16.072,  3.370
337,-63.353, 15.517,  3.471
338,-61.303, 14.788,  3.261
339,-59.493, 14.128,  2.825
340,-58.384, 13.523,  2.775
341,-57.523, 13.110,  2.788
342,-56.762, 12.393,  2.438
343,-55.870, 11.896,  1.890
344,-54.963, 11.355,  1.211
345,-54.208, 11.033,  0.531
346,-54.434, 10.503,  0.135
347,-74.878,  7.222,  1.274
348, 70.165,  7.933,  0.562
349, 58.941,  8.275, -0.480
350, 35.318,  9.850, -3.130
