roll, pitch, yaw
  0.209,  4.780, 11.661
  0.205,  4.796, 11.723
  0.205,  4.789, 11.770
  0.222,  4.766, 11.822
  0.213,  4.732, 11.871
  0.223,  4.732, 11.926
  0.220,  4.715, 11.966
  0.239,  4.681, 12.012
  0.242,  4.696, 12.072
  0.240,  4.683, 12.119
  0.239,  4.693, 12.166
  0.247,  4.688, 12.211
  0.258,  4.679, 12.266
  0.250,  4.679, 12.316
  0.245,  4.663, 12.366
  0.249,  4.668, 12.412
  0.258,  4.636, 12.464
  0.251,  4.652, 12.513
  0.262,  4.638, 12.554
  0.265,  4.633, 12.609
  0.281,  4.619, 12.665
  0.294,  4.621, 12.710
  0.294,  4.631, 12.765
  0.291,  4.624, 12.806
  0.287,  4.624, 12.855
  0.284,  4.630, 12.911
  0.286,  4.631, 12.970
  0.281,  4.619, 13.013
  0.297,  4.614, 13.059
  0.289,  4.608, 13.105
  0.291,  4.620, 13.163
  0.289,  4.598, 13.213
  0.285,  4.600, 13.274
  0.303,  4.577, 13.325
  0.318,  4.565, 13.384
  0.312,  4.555, 13.438
  0.318,  4.527, 13.495
  0.321,  4.516, 13.543
  0.304,  4.509, 13.598
  0.313,  4.511, 13.638
  0.315,  4.506, 13.699
  0.318,  4.516, 13.755
  0.306,  4.508, 13.799
  0.316,  4.512, 13.845
  0.330,  4.482, 13.902
  0.333,  4.480, 13.957
  0.328,  4.483, 14.008
  0.341,  4.477, 14.048
  0.336,  4.467, 14.093
  0.351,  4.469, 14.141
  0.362,  4.455, 14.196
  0.360,  4.424, 14.252
  0.377,  4.414, 14.309
  0.378,  4.411, 14.355
  0.376,  4.391, 14.412
  0.377,  4.388, 14.455
  0.364,  4.378, 14.511
  0.349,  4.367, 14.560
  0.357,  4.369, 14.609
  0.351,  4.356, 14.653
  0.344,  4.335, 14.704
  0.340,  4.353, 14.751
  0.341,  4.361, 14.796
  0.359,  4.358, 14.856
  0.355,  4.366, 14.905
  0.365,  4.341, 14.949
  0.381,  4.331, 15.013
  0.364,  4.308, 15.064
  0.360,  4.289, 15.118
  0.371,  4.254, 15.170
  0.376,  4.251, 15.216
  0.372,  4.256, 15.265
  0.377,  4.218, 15.319
  0.387,  4.230, 15.364
  0.392,  4.213, 15.415
  0.400,  4.218, 15.474
