id, roll, pitch, yaw
187, 30.418,-21.173,-38.120
188, 35.792,-21.154,-38.675
189, 42.317,-21.828,-40.719
190, 49.446,-22.729,-43.159
191, 56.851,-25.195,-45.430
192, 58.972,-29.528,-45.959
193, 61.275,-34.804,-46.173
194, 66.670,-34.202,-46.926
195, 69.980,-33.045,-47.409
196, 72.750,-31.444,-47.799
197, 74.912,-30.169,-48.506
198, 77.099,-29.436,-48.997
199, 79.149,-28.898,-49.082
200, 81.508,-27.999,-48.715
201, 83.764,-26.615,-48.530
202, 85.367,-25.627,-48.437
203, 87.181,-24.261,-48.365
204, 89.800,-22.284,-48.204
205,-88.356,-21.176,-48.024
206,-88.400,-21.259,-47.847
207, 89.503,-21.865,-47.884
208, 85.639,-22.156,-47.836
209, 80.524,-23.137,-47.315
210, 77.293,-22.961,-46.505
211, 81.471,-22.597,-46.405
212, 87.835,-21.386,-46.951
213,-87.916,-20.815,-46.970
214,-82.120,-19.710,-47.276
215,-76.484,-19.062,-47.444
216,-67.962,-19.895,-48.533
217,-57.971,-20.922,-49.590
218,-55.626,-20.928,-49.697
219,-52.312,-21.006,-49.480
220,-45.749,-21.794,-50.230
221,-39.291,-23.868,-51.335
222,-34.989,-23.651,-52.075
223,-31.732,-24.191,-52.276
224,-28.072,-25.388,-53.381
225,-23.113,-25.709,-54.459
226,-18.888,-25.758,-55.898
227,-17.313,-25.694,-57.617
228,-13.819,-25.483,-60.054
229, -7.936,-23.527,-60.273
230, -0.013,-19.629,-60.374
231,  4.798,-17.965,-60.229
232, 10.720,-16.499,-59.959
233, 18.332,-14.177,-59.175
234, 28.052,-11.304,-56.942
235, 36.670, -9.794,-54.912
236, 50.040, -6.692,-65.001
237, 51.060, -6.407,-65.781
238, 53.165, -4.044,-65.709
239, 56.567, -1.878,-65.413
240, 56.754, -1.892,-65.548
241, 58.627, -1.491,-65.408
242, 61.228,  0.138,-65.302
243, 66.393,  2.911,-64.839
244, 70.944,  4.922,-63.644
245, 77.384,  8.215,-62.336
246, 83.748,  9.005,-61.254
247,-89.940, 10.846,-60.250
248,-85.887, 10.483,-59.419
249,-81.885,  9.691,-58.900
250,-77.102, 10.175,-58.242
251,-71.628, 11.255,-57.665
252,-68.125, 10.997,-57.255
253,-66.369,  9.540,-56.909
254,-62.740,  8.400,-56.534
255,-58.782,  9.486,-56.089
256,-53.710, 10.795,-56.257
257,-50.687, 11.943,-56.389
258,-48.398, 11.790,-56.353
259,-46.125, 11.526,-55.885
260,-45.556, 12.578,-55.226
