 -0.018, -0.001, -0.004
 -0.349, -0.039,  0.046
 -0.811, -0.590, -0.757
 -0.898, -0.445, -0.373
 -0.409, -0.614, -0.814
 -0.673,  0.157,  0.426
 -0.936, -0.028,  0.150
 -0.337,  0.013,  0.483
 -0.909, -0.097,  0.531
 -1.330, -0.587,  0.147
 -2.039, -0.059,  0.832
 -2.058, -0.754,  0.186
 -2.074, -0.870,  0.229
 -1.862, -1.695, -0.851
 -1.171, -1.486, -0.532
 -1.669, -1.118, -0.011
 -1.679, -1.568, -0.553
 -1.378, -2.193, -1.528
 -1.470, -2.657, -1.933
 -1.892, -3.246, -2.461
 -2.356, -3.652, -2.809
 -2.821, -3.783, -2.927
 -3.800, -3.142, -2.110
 -4.449, -2.630, -1.507
 -4.838, -2.246, -1.132
 -5.001, -1.996, -0.815
 -5.473, -1.332, -0.082
 -5.796, -1.520, -0.239
 -5.725, -2.242, -0.864
 -5.979, -3.707, -2.083
 -6.178, -3.490, -1.906
 -5.817, -3.369, -2.032
 -5.483, -2.994, -1.812
 -5.279, -2.097, -0.687
 -5.673, -1.609, -0.315
 -4.829, -1.873, -0.825
 -4.703, -1.973, -0.895
 -4.771, -2.915, -1.811
 -5.431, -3.019, -1.800
 -5.787, -2.732, -1.504
 -5.787, -2.064, -0.728
 -5.770, -2.808, -1.573
 -5.407, -1.743, -0.079
 -6.670, -1.657,  0.048
 -6.916, -1.560,  0.179
 -7.161, -1.988, -0.316
 -6.589, -3.116, -2.043
 -5.933, -2.862, -1.986
 -5.575, -2.473, -1.457
 -5.409, -1.625, -0.151
 -5.564, -1.171,  0.287
 -5.432, -1.753, -0.426
 -5.424, -2.694, -1.307
 -4.757, -3.650, -2.766
 -5.010, -3.307, -2.326
 -4.600, -3.426, -2.728
 -4.923, -2.582, -1.749
 -5.179, -3.086, -2.124
 -6.479, -2.662, -1.663
 -7.187, -2.247, -1.185
 -7.698, -1.938, -0.770
 -6.993, -2.482, -1.710
 -6.842, -3.311, -2.495
 -7.901, -2.662, -1.867
 -7.968, -2.990, -2.010
 -8.478, -3.169, -2.094
 -7.986, -3.484, -2.623
 -7.763, -4.320, -3.655
 -8.243, -3.321, -2.680
 -7.434, -3.431, -2.916
 -7.185, -3.230, -2.488
 -6.934, -2.389, -1.378
 -6.474, -3.201, -2.501
 -7.149, -3.260, -2.384
 -7.263, -3.961, -3.058
 -7.876, -3.015, -2.091
 -8.708, -2.481, -1.507
 -8.939, -2.949, -1.815
 -9.073, -2.927, -1.592
-10.205, -1.095, -0.221
-10.781, -1.373, -0.388
-10.383, -1.610, -0.519
-10.488, -1.634, -0.490
-10.394, -0.915,  0.378
 -9.898, -1.629, -0.379
 -9.190, -1.916, -0.881
 -8.968, -2.331, -1.337
 -7.479, -1.583, -0.163
 -6.818, -1.607, -0.239
 -7.090, -1.965, -0.528
 -6.946, -1.595, -0.116
 -5.831, -1.669, -0.337
 -5.340, -2.071, -0.935
 -6.105, -1.941, -0.797
 -6.471, -2.143, -0.933
 -7.350, -0.899,  0.300
 -7.274, -1.432, -0.144
 -6.781, -1.255,  0.283
 -7.194, -1.399,  0.225
 -7.234, -1.740, -0.039
 -7.683, -1.476,  0.353
 -6.411, -1.390,  0.036
 -6.170, -1.676, -0.305
 -6.192, -1.323,  0.306
 -6.399, -1.585,  0.237
 -6.222, -2.328, -0.574
 -6.433, -1.986, -0.127
 -6.673, -1.688,  0.278
 -6.820, -1.967,  0.002
 -7.228, -1.938,  0.142
 -8.093, -2.423, -0.129
 -8.436, -1.460,  0.805
 -8.920, -1.468,  1.008
 -8.042, -2.117,  0.060
 -8.379, -3.149, -0.736
 -8.244, -3.613, -1.337
 -8.112, -3.746, -1.415
 -8.914, -3.436, -1.072
 -8.893, -2.577, -0.087
 -9.194, -2.738, -0.155
 -8.691, -3.323, -1.073
 -8.207, -2.852, -0.582
 -6.274, -3.546, -2.636
 -5.876, -3.426, -2.795
 -6.423, -3.419, -2.585
 -5.602, -3.680, -3.214
 -4.947, -2.922, -2.346
 -4.312, -3.371, -2.762
 -2.244, -2.194, -0.553
 -2.425, -2.611, -1.003
 -3.175, -1.944, -0.164
 -3.942, -2.309, -0.225
 -3.957, -3.241, -1.241
 -3.693, -3.573, -2.035
 -4.455, -3.515, -1.932
 -4.197, -4.321, -3.043
 -4.671, -3.965, -2.548
 -4.370, -4.171, -2.931
 -4.154, -3.610, -2.273
