Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
443,  1.465,-18.886,-13.802,  -0.342, -0.155, -0.965,  0.116,  0.189, -0.638
444, -3.394, 14.198, -8.658,  -0.230, -0.194, -1.076,  0.132,  0.208, -0.632
445,-15.664, 47.066,-35.575,  -0.239, -0.124, -1.033,  0.105,  0.209, -0.641
446,-52.809,  6.423,-42.326,  -0.139, -0.116, -1.004,  0.054,  0.183, -0.669
447, 17.832,-20.083,-31.814,  -0.229,  0.032, -1.024,  0.035,  0.141, -0.689
448, -4.583,  1.585,-23.941,  -0.126, -0.022, -1.028,  0.026,  0.132, -0.692
449, -4.135,  1.742, -4.957,  -0.125,  0.004, -1.008,  0.024,  0.132, -0.691
450, -4.419,  2.258, -5.107,  -0.127,  0.003, -1.001,  0.022,  0.128, -0.689
451, -4.120,  2.378, -5.219,  -0.140,  0.000, -0.972,  0.027,  0.131, -0.690
452, -4.636,  2.654, -5.383,  -0.123,  0.006, -1.003,  0.026,  0.131, -0.693
453, -3.880,  2.064, -5.084,  -0.130,  0.005, -1.002,  0.022,  0.130, -0.694
454, -4.471,  2.662, -5.563,  -0.112,  0.013, -1.027,  0.026,  0.130, -0.694
455, -3.880,  2.415, -5.084,  -0.109,  0.012, -1.031,  0.019,  0.130, -0.689
456, -3.851,  2.325, -5.338,  -0.132,  0.006, -0.998,  0.019,  0.131, -0.691
457, -4.531,  2.467, -4.957,  -0.112,  0.014, -1.032,  0.023,  0.133, -0.691
458, -3.641,  2.183, -5.099,  -0.141, -0.002, -0.972,  0.024,  0.131, -0.694
459, -3.798,  2.318, -4.897,  -0.116,  0.010, -1.019,  0.022,  0.129, -0.693
460, -4.299,  2.071, -4.965,  -0.122,  0.009, -1.017,  0.025,  0.128, -0.685
461, -3.626,  2.168, -4.905,  -0.122,  0.008, -1.012,  0.023,  0.131, -0.688
462, -4.830,  2.804, -5.383,  -0.115,  0.012, -1.021,  0.028,  0.130, -0.682
463, -3.806,  2.206, -5.054,  -0.129,  0.006, -0.997,  0.027,  0.131, -0.692
464, -4.299,  2.258, -5.144,  -0.112,  0.013, -1.031,  0.025,  0.130, -0.691
465, -4.277,  2.542, -5.503,  -0.131,  0.004, -0.990,  0.026,  0.130, -0.691
466, -3.955,  2.295, -4.927,  -0.121,  0.007, -1.010,  0.029,  0.131, -0.691
467, -4.015,  2.624, -5.032,  -0.107,  0.014, -1.036,  0.017,  0.130, -0.692
468, -3.641,  2.251, -5.054,  -0.130,  0.004, -0.992,  0.028,  0.131, -0.693
469, -3.963,  2.333, -5.077,  -0.124,  0.008, -1.006,  0.019,  0.125, -0.688
470, -4.269,  2.766, -5.309,  -0.106,  0.016, -1.043,  0.025,  0.130, -0.693
471, -4.292,  2.370, -5.062,  -0.106,  0.015, -1.039,  0.027,  0.130, -0.690
472, -3.761,  2.288, -5.152,  -0.139,  0.002, -0.980,  0.025,  0.129, -0.690
473, -3.551,  2.041, -4.770,  -0.130,  0.003, -1.027,  0.023,  0.131, -0.691
