Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
64, -7.679,  5.286,  1.578,   0.023, -0.007, -1.041, -0.271,  0.020, -0.216
65, -6.684,  1.832,  0.523,   0.040, -0.045, -0.943, -0.270,  0.020, -0.220
66, -4.673,  4.710, -1.129,   0.065, -0.007, -1.014, -0.263,  0.020, -0.216
67,-11.013,  7.963, -7.230,   0.050, -0.001, -1.053, -0.266,  0.022, -0.223
68, -9.002,  7.619, -2.684,   0.042, -0.062, -0.955, -0.269,  0.019, -0.219
69, -4.748,  5.017,  0.090,   0.073, -0.020, -0.981, -0.273,  0.020, -0.217
70, -3.312,  3.544, -0.336,   0.041,  0.005, -1.008, -0.266,  0.023, -0.216
71, -5.294,  3.237, -6.176,  -0.019,  0.014, -0.996, -0.272,  0.023, -0.211
72, -2.116, -5.002, -3.925,  -0.018,  0.031, -1.022, -0.267,  0.025, -0.223
73,  9.839, -3.469, 11.312,   0.068, -0.032, -1.046, -0.260,  0.034, -0.221
74,  9.466,  8.202,  0.112,   0.043, -0.035, -1.031, -0.254,  0.046, -0.210
75,  5.443,  8.180,-17.825,   0.018, -0.090, -1.027, -0.258,  0.050, -0.202
76, -5.750,  2.370,-20.023,  -0.029, -0.102, -0.928, -0.275,  0.044, -0.201
77, -2.183,  2.071, -5.241,   0.045, -0.181, -0.979, -0.270,  0.044, -0.200
78, -7.095, -2.894, -6.281,   0.105, -0.180, -1.070, -0.271,  0.043, -0.204
79, -5.062,  8.396,  1.981,   0.128, -0.203, -0.942, -0.268,  0.046, -0.204
80, -9.533,  7.043,-10.774,   0.089, -0.152, -0.974, -0.269,  0.041, -0.202
81, -8.509,  6.849, -2.953,   0.093, -0.128, -0.980, -0.275,  0.038, -0.198
82,-13.144, 10.961, -1.451,   0.103, -0.100, -1.046, -0.274,  0.038, -0.203
83, -6.236,  9.084, -3.843,   0.109, -0.127, -0.996, -0.278,  0.036, -0.201
84, -8.224,  2.288, -8.217,   0.080, -0.071, -0.987, -0.281,  0.035, -0.204
85, -1.122,  3.492,-12.464,   0.128, -0.061, -0.993, -0.284,  0.036, -0.200
