Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
64, -5.249,  2.766, -4.830,  -0.118,  0.033,  0.993, -0.055,  0.031,  0.453
65, 14.901, -6.572,-10.385,  -0.325,  0.066,  1.195, -0.035,  0.040,  0.451
66,-25.219, 31.163, 15.828,  -0.419,  0.003,  0.919,  0.057, -0.009,  0.419
67, -4.965, 17.488, -0.598,  -0.319,  0.035,  0.864,  0.069, -0.030,  0.377
68,-10.490,  9.668, 16.890,  -0.186,  0.047,  0.867,  0.075, -0.013,  0.353
69,-25.242, 13.765, 17.182,  -0.061, -0.055,  0.882,  0.069, -0.014,  0.338
70,-14.086, -5.802,  0.561,  -0.031, -0.075,  0.971,  0.041, -0.024,  0.400
71,-11.514,  5.294, -5.742,  -0.072, -0.093,  0.975,  0.042, -0.029,  0.408
72, 17.219,-31.477, -1.092,  -0.186, -0.043,  1.323, -0.003, -0.010,  0.389
73,-37.399,  8.524,-12.531,  -0.134,  0.014,  1.053, -0.029, -0.039,  0.406
74, 10.004,  2.632, -8.479,  -0.177, -0.036,  1.026, -0.031, -0.051,  0.393
75, -4.583,  0.807, -5.309,  -0.150, -0.007,  0.945, -0.031, -0.053,  0.393
76, -5.974,  8.135, -7.253,  -0.146,  0.015,  1.002, -0.017, -0.063,  0.395
77,  4.352,  3.193, -1.682,  -0.148, -0.010,  0.990, -0.019, -0.071,  0.396
78, -6.632,  2.789, -4.000,  -0.135,  0.013,  0.966, -0.023, -0.075,  0.407
79, -8.419, 14.176, -6.624,  -0.054, -0.004,  1.013, -0.012, -0.077,  0.404
80,  5.892, 15.537, -6.393,  -0.020, -0.002,  1.134,  0.031, -0.126,  0.451
81,-23.036, -9.488,  1.159,  -0.103, -0.025,  1.006,  0.034, -0.061,  0.358
82,  5.204,-15.612,-16.875,  -0.067, -0.018,  0.771,  0.072, -0.026,  0.346
