Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
64,-14.602,-15.058,-18.677,  -0.086,  0.311, -1.039, -0.056,  0.059, -0.391
65, 22.879, -2.684,-26.528,  -0.086,  0.305, -1.027, -0.050,  0.034, -0.396
66,-37.212, 75.344,-94.679,  -0.104,  0.294, -0.929, -0.065,  0.061, -0.380
67, 45.093, 48.285,-37.152,  -0.018,  0.129, -0.964, -0.096,  0.057, -0.373
68, 15.754, -5.279,-26.386,  -0.043,  0.109, -0.887, -0.106,  0.074, -0.376
69, 13.720,-23.544, -1.824,  -0.069,  0.111, -0.818, -0.094,  0.069, -0.362
70, 35.298,-35.014, -6.856,  -0.091, -0.073, -0.893, -0.071,  0.084, -0.369
71, 20.030, -5.959,  2.437,  -0.264, -0.067, -1.022, -0.048,  0.114, -0.366
72,-23.679, 12.651,  7.223,  -0.289, -0.046, -0.852, -0.050,  0.098, -0.352
73, 28.711,-48.210, 17.638,  -0.238, -0.022, -1.129, -0.042,  0.102, -0.343
74,-13.840,-29.466,-10.909,  -0.244, -0.211, -1.268, -0.046,  0.105, -0.361
75, 14.505,-25.571,  3.723,  -0.407, -0.073, -1.235, -0.005,  0.141, -0.412
76,  5.892, -0.179, -7.327,  -0.464, -0.012, -1.212,  0.037,  0.198, -0.372
77, -9.129, -1.159, -3.581,  -0.387, -0.033, -1.058,  0.043,  0.195, -0.396
78,  0.486,  4.733,  0.426,  -0.438, -0.036, -0.943,  0.046,  0.211, -0.402
79, 14.819,  0.927,  1.398,  -0.430, -0.141, -0.976,  0.056,  0.200, -0.385
80,-28.905,  8.060,-10.049,  -0.421, -0.198, -0.975,  0.045,  0.228, -0.380
81,-12.539,  7.985,-14.049,  -0.433, -0.201, -0.950, -0.001,  0.321, -0.327
82,-13.675, 14.856,-25.900,  -0.453, -0.099, -0.958, -0.537,  0.448,  0.190
83,-21.503, 14.169,-33.018,  -0.436, -0.057, -0.913,  0.060, -0.625, -0.216
84,-13.548,  8.284,-30.229,  -0.363, -0.020, -1.069,  0.144,  0.111, -0.436
85,  6.266,  6.482,-27.238,  -0.334,  0.044, -0.903,  0.038,  0.128, -0.303
86,  6.124,  2.004,-18.662,  -0.370, -0.023, -0.975,  0.037,  0.077, -0.392
87, -7.896,  3.275, 14.804,  -0.317,  0.060, -1.028,  0.031,  0.143, -0.383
88, 25.092, 12.359, 13.144,  -0.291, -0.021, -1.036,  0.008,  0.107, -0.347
89,-50.334, 73.811,-11.058,  -0.337,  0.060, -0.903, -0.018,  0.099, -0.372
90, 31.724,-33.900,  5.892,  -0.347,  0.020, -0.943, -0.013,  0.089, -0.349
91,-13.398,  3.731,-10.168,  -0.338, -0.100, -1.065,  0.009,  0.088, -0.348
92, 14.744, 14.056,-18.752,  -0.238, -0.124, -1.045, -0.001,  0.102, -0.348
93, -3.125, -3.791,-22.386,  -0.381, -0.100, -0.984, -0.008,  0.095, -0.349
94,-31.582, -0.284, -5.608,  -0.323, -0.052, -1.007, -0.010,  0.082, -0.361
95,-11.679, -4.366, -1.765,  -0.352, -0.031, -1.010, -0.007,  0.083, -0.357
96,-16.516, -1.346, -7.559,  -0.380,  0.000, -1.009, -0.001,  0.063, -0.346
97, -3.604, -1.959, -1.974,  -0.362, -0.024, -0.951, -0.000,  0.074, -0.370
98,-12.883, -3.948, -5.294,  -0.402,  0.004, -1.052,  0.007,  0.067, -0.362
99, -5.690, -1.578, -5.473,  -0.382, -0.051, -1.016,  0.012,  0.070, -0.362
100, -8.449,  3.043,-11.193,  -0.418,  0.009, -1.156,  0.013,  0.059, -0.363
101, -8.875, 28.883,-13.339,  -0.491,  0.098, -1.406, -0.006,  0.087, -0.391
102, -8.770, 30.027, 12.150,  -0.341,  0.004, -1.044, -0.034,  0.066, -0.401
103, 42.229, 24.389,-18.602,  -0.306,  0.007, -0.959, -0.043,  0.067, -0.389
