Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
269, -8.651,  0.022, -3.783,  -0.250,  0.322,  0.938, -0.240, -0.358,  0.308
270,-11.686,  2.310, -4.396,  -0.281,  0.268,  0.995, -0.237, -0.358,  0.311
271, -7.036, -2.056, -1.570,  -0.299,  0.340,  1.012, -0.240, -0.353,  0.311
272, -1.241, -2.355,  1.600,  -0.205,  0.322,  0.975, -0.253, -0.350,  0.304
273,-10.355, -4.441,  2.864,  -0.238,  0.302,  0.947, -0.257, -0.348,  0.297
274, -7.267, -2.879,  5.129,  -0.162,  0.332,  0.935, -0.264, -0.341,  0.294
275, -8.030, -1.249,  9.727,  -0.090,  0.313,  0.939, -0.272, -0.334,  0.296
276, -9.839,  5.002,  8.703,  -0.117,  0.187,  0.966, -0.275, -0.326,  0.293
277,-24.853, -8.972, -3.701,   0.057,  0.133,  0.871, -0.284, -0.314,  0.292
278, -2.662,  2.280,  1.144,   0.037,  0.203,  0.942, -0.285, -0.308,  0.283
279, -2.968,  6.729,  1.480,   0.030,  0.179,  1.038, -0.291, -0.305,  0.284
280, -1.869, -5.062,  1.451,   0.111,  0.057,  1.009, -0.292, -0.303,  0.288
281,  2.452, -1.712,-16.075,   0.093,  0.164,  1.018, -0.288, -0.305,  0.283
282, -7.716, -1.189,-11.619,  -0.021,  0.224,  0.921, -0.297, -0.314,  0.280
283, -6.303,  1.107, -8.367,  -0.044,  0.287,  0.984, -0.288, -0.313,  0.279
284, -1.869,  7.664, -2.654,  -0.022,  0.224,  0.978, -0.293, -0.316,  0.276
285, -3.013,  5.092, -6.071,  -0.024,  0.207,  0.954, -0.288, -0.315,  0.279
286, -4.553,  9.286, -4.254,  -0.043,  0.246,  1.001, -0.292, -0.317,  0.282
287, -5.981,  3.245, -3.402,  -0.042,  0.240,  0.939, -0.291, -0.315,  0.282
288, -8.112,  2.273, -4.778,  -0.039,  0.232,  0.932, -0.289, -0.313,  0.280
289, -4.815,  2.430, -6.452,  -0.017,  0.196,  0.932, -0.289, -0.314,  0.281
290, -9.107,  1.779,-10.303,  -0.025,  0.163,  0.914, -0.287, -0.315,  0.281
291,  0.680,-17.301,-20.075,  -0.016,  0.187,  0.855, -0.285, -0.324,  0.275
292,  5.159,-13.997,-30.632,   0.008,  0.296,  0.916, -0.290, -0.345,  0.264
293,-10.206, -8.060,-17.533,   0.055,  0.384,  0.811, -0.285, -0.353,  0.254
294, -5.914,  6.176,-15.873,  -0.066,  0.229,  0.887, -0.283, -0.357,  0.253
295,-14.311, 19.986,-32.098,  -0.048,  0.290,  1.047, -0.271, -0.362,  0.263
296,-30.804,  4.613,-31.575,  -0.049,  0.317,  1.014, -0.255, -0.370,  0.276
297,-22.901,  8.269,-27.746,  -0.055,  0.279,  0.949, -0.240, -0.370,  0.283
298,-11.918, 13.391,-20.382,  -0.113,  0.200,  0.953, -0.228, -0.369,  0.292
299,-13.653, 15.185,-23.851,  -0.125,  0.164,  0.965, -0.216, -0.377,  0.301
300,-17.413, 14.438,-15.918,  -0.181,  0.204,  1.045, -0.197, -0.372,  0.312
301,-15.223,  5.735,-16.471,  -0.201,  0.191,  1.013, -0.189, -0.372,  0.320
302,-12.329,  4.180, -0.217,  -0.165,  0.155,  0.985, -0.189, -0.368,  0.330
