Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
721, -4.494,  2.579, -4.060,  -0.148,  0.036, -1.015,  0.051, -0.075, -0.257
722, -5.092,  3.290, -4.703,  -0.133,  0.043, -1.052,  0.052, -0.076, -0.258
723, -4.105,  2.430, -4.247,  -0.158,  0.033, -1.002,  0.050, -0.076, -0.259
724, -4.187,  2.295, -4.037,  -0.165,  0.031, -0.989,  0.050, -0.075, -0.258
725, -4.755,  2.953, -4.486,  -0.136,  0.042, -1.020,  0.051, -0.076, -0.255
726, -4.449,  2.781, -4.008,  -0.148,  0.037, -1.027,  0.052, -0.074, -0.258
727, -4.763,  3.028, -4.464,  -0.131,  0.045, -1.056,  0.047, -0.079, -0.259
728, -4.441,  2.579, -4.262,  -0.162,  0.028, -0.989,  0.051, -0.074, -0.259
729, -4.471,  3.006, -4.688,  -0.150,  0.037, -1.015,  0.048, -0.078, -0.259
730, -4.471,  2.938, -4.449,  -0.154,  0.038, -1.019,  0.053, -0.075, -0.257
731, -4.912,  2.751, -4.381,  -0.133,  0.042, -1.046,  0.053, -0.076, -0.257
732, -5.047,  3.110, -4.538,  -0.131,  0.046, -1.053,  0.046, -0.076, -0.254
733, -4.942,  2.699, -4.344,  -0.144,  0.039, -1.029,  0.053, -0.075, -0.254
734, -4.381,  2.550, -4.501,  -0.164,  0.030, -0.986,  0.052, -0.076, -0.258
735, -4.381,  2.467, -4.105,  -0.159,  0.034, -0.999,  0.053, -0.075, -0.257
736, -4.965,  2.722, -4.337,  -0.131,  0.042, -1.057,  0.047, -0.075, -0.260
737, -4.224,  2.505, -3.970,  -0.155,  0.034, -1.013,  0.052, -0.075, -0.253
738, -4.037,  2.579, -4.501,  -0.160,  0.029, -0.991,  0.049, -0.077, -0.258
739, -4.830,  3.230, -4.411,  -0.126,  0.046, -1.067,  0.043, -0.079, -0.255
740, -4.815,  2.886, -4.606,  -0.141,  0.040, -1.036,  0.052, -0.075, -0.258
741, -4.845,  2.490, -3.993,  -0.137,  0.039, -1.044,  0.052, -0.076, -0.256
742, -4.636,  2.594, -4.232,  -0.141,  0.037, -1.025,  0.050, -0.074, -0.259
743, -4.957,  2.923, -4.486,  -0.140,  0.037, -1.070,  0.049, -0.078, -0.257
744, -5.638,  3.095, -4.322,  -0.120,  0.048, -1.076,  0.047, -0.075, -0.257
745, -4.583,  2.415, -4.150,  -0.148,  0.035, -1.013,  0.052, -0.076, -0.258
746, -5.256,  3.230, -4.793,  -0.122,  0.047, -1.077,  0.049, -0.076, -0.259
747, -4.426,  2.722, -4.194,  -0.141,  0.039, -1.029,  0.045, -0.077, -0.257
748, -4.882,  2.998, -4.509,  -0.131,  0.043, -1.056,  0.053, -0.074, -0.258
749, -5.196,  3.282, -4.546,  -0.125,  0.047, -1.048,  0.053, -0.077, -0.253
750, -4.815,  2.400, -4.135,  -0.151,  0.034, -1.008,  0.051, -0.076, -0.258
751, -4.269,  3.133, -4.673,  -0.151,  0.036, -1.022,  0.048, -0.080, -0.256
752, -4.703,  2.587, -4.262,  -0.148,  0.035, -1.013,  0.048, -0.077, -0.256
753, -4.748,  4.157,  2.699,  -0.136,  0.062, -1.024,  0.054, -0.076, -0.257
754, -4.643,  5.817, -1.092,  -0.146,  0.034, -1.007,  0.051, -0.077, -0.259
755, -3.813,  3.409, -2.879,  -0.148,  0.032, -1.019,  0.050, -0.079, -0.257
756, -4.187,  2.273, -4.060,  -0.171,  0.025, -0.964,  0.052, -0.077, -0.259
757, -4.882,  3.155, -3.043,  -0.143,  0.038, -1.018,  0.051, -0.078, -0.256
758, -4.292,  2.445, -3.978,  -0.158,  0.032, -0.990,  0.049, -0.077, -0.257
759, -4.352,  4.434, -2.617,  -0.156,  0.031, -0.992,  0.052, -0.078, -0.258
760, -4.972,  2.916, -2.998,  -0.134,  0.042, -1.045,  0.053, -0.077, -0.259
761, -4.680,  2.871, -4.509,  -0.137,  0.039, -1.038,  0.049, -0.080, -0.258
762, -4.897,  1.002, -2.849,  -0.140,  0.038, -1.038,  0.053, -0.078, -0.257
763, -3.978,  2.370, -3.626,  -0.169,  0.025, -0.972,  0.049, -0.082, -0.254
764, -4.995,  3.245, -4.523,  -0.123,  0.046, -1.054,  0.053, -0.080, -0.255
765, -4.598,  2.729, -4.187,  -0.127,  0.043, -1.057,  0.051, -0.079, -0.256
766, -4.389,  2.116, -4.621,  -0.137,  0.038, -1.026,  0.049, -0.079, -0.259
767, -4.434,  3.282,  2.811,  -0.156,  0.053, -1.014,  0.049, -0.082, -0.259
768, -5.368,  3.380, -4.531,  -0.103,  0.050, -1.088,  0.045, -0.081, -0.255
769, -4.613,  2.894, -4.456,  -0.133,  0.038, -1.033,  0.050, -0.079, -0.257
770, -5.017,  2.938, -4.292,  -0.157,  0.030, -0.985,  0.052, -0.080, -0.258
771, -4.494,  1.495,-11.709,  -0.119,  0.031, -1.002,  0.053, -0.080, -0.257
772, -5.152,  3.701, -5.054,  -0.117,  0.046, -1.080,  0.054, -0.079, -0.256
773, -3.656,  9.593, -0.845,  -0.172,  0.036, -1.021,  0.045, -0.080, -0.258
774, -4.561,  2.968, -4.494,  -0.140,  0.036, -1.018,  0.051, -0.082, -0.255
775, -4.695,  3.230, -4.688,  -0.133,  0.035, -1.034,  0.046, -0.082, -0.260
776, -5.159,  2.894, -4.553,  -0.127,  0.043, -1.043,  0.047, -0.079, -0.260
777, -4.441,  2.639, -4.247,  -0.137,  0.040, -1.033,  0.050, -0.080, -0.259
778, -4.239,  2.819, -4.172,  -0.131,  0.041, -1.040,  0.051, -0.079, -0.259
779, -3.873,  2.430, -3.821,  -0.151,  0.026, -0.986,  0.052, -0.080, -0.258
780, -3.761,  2.168, -3.925,  -0.156,  0.027, -0.983,  0.051, -0.085, -0.255
781, -5.114,  2.751, -4.426,  -0.131,  0.039, -1.035,  0.052, -0.081, -0.256
782, -4.718,  2.901, -4.008,  -0.153,  0.030, -0.989,  0.051, -0.079, -0.259
783, -4.987,  2.856, -4.553,  -0.131,  0.038, -1.027,  0.052, -0.080, -0.256
784, -4.980,  2.931, -4.157,  -0.137,  0.036, -1.029,  0.051, -0.079, -0.259
785, -4.172,  2.161, -4.037,  -0.159,  0.026, -1.014,  0.049, -0.079, -0.253
786, -4.105,  2.191, -4.052,  -0.147,  0.033, -1.003,  0.050, -0.082, -0.257
787, -4.658,  2.617, -4.045,  -0.147,  0.033, -1.004,  0.045, -0.085, -0.257
788, -4.568,  2.647, -3.858,  -0.139,  0.035, -1.016,  0.051, -0.080, -0.259
789, -4.479,  2.408, -3.978,  -0.143,  0.034, -1.014,  0.052, -0.078, -0.256
790, -5.241,  3.312, -4.441,  -0.123,  0.044, -1.055,  0.051, -0.079, -0.257
791, -4.823,  3.125, -4.247,  -0.142,  0.035, -1.016,  0.046, -0.081, -0.257
792, -4.666,  2.811, -4.217,  -0.139,  0.037, -1.021,  0.051, -0.080, -0.253
793, -4.927,  3.514, -4.606,  -0.132,  0.039, -1.031,  0.051, -0.079, -0.258
794, -4.284,  2.654, -4.307,  -0.152,  0.032, -1.008,  0.051, -0.079, -0.260
795, -4.740,  2.796, -4.523,  -0.123,  0.044, -1.056,  0.051, -0.082, -0.258
796, -4.710,  2.961, -4.254,  -0.141,  0.035, -1.018,  0.051, -0.079, -0.259
797, -5.241,  3.148, -4.658,  -0.110,  0.049, -1.079,  0.051, -0.079, -0.255
