Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
340, -4.763,-21.892,-32.778,   0.491, -0.211, -0.745, -0.260,  0.018, -0.162
341,-12.411,-16.673,-27.784,   0.481, -0.201, -0.844, -0.263,  0.020, -0.178
342,-22.221,-16.479,-18.475,   0.462, -0.044, -0.886, -0.266, -0.011, -0.175
343,-22.019,-12.000,-12.785,   0.446, -0.128, -0.863, -0.260, -0.021, -0.183
344,-20.397, -8.628,-12.793,   0.389, -0.107, -0.879, -0.255, -0.036, -0.200
345,-14.213,-10.864,-11.843,   0.400, -0.069, -0.892, -0.252, -0.049, -0.216
346,-17.122,-10.303,-12.995,   0.346, -0.069, -0.908, -0.255, -0.039, -0.229
347, -9.159,-11.357,-11.888,   0.333, -0.048, -0.892, -0.246, -0.057, -0.231
348, -8.449, -9.413,-12.808,   0.322, -0.053, -0.852, -0.247, -0.058, -0.230
349, -8.374,-13.084,-15.574,   0.294, -0.017, -0.831, -0.244, -0.068, -0.240
350,-11.163,-15.447,-14.251,   0.260,  0.021, -0.906, -0.231, -0.065, -0.256
351,-11.656,-22.625,-16.658,   0.200,  0.046, -0.974, -0.223, -0.078, -0.295
352,-11.305,-33.765,-16.980,   0.109,  0.122, -0.989, -0.206, -0.087, -0.283
353,-13.383,-20.584,-11.634,   0.082,  0.149, -1.126, -0.190, -0.094, -0.309
354,-13.765,-16.068, -8.890,   0.049,  0.207, -1.091, -0.178, -0.102, -0.338
355, -9.473,-15.709, -3.484,   0.030,  0.194, -0.982, -0.167, -0.100, -0.322
356,-13.040,-13.974,  0.336,  -0.041,  0.157, -1.052, -0.152, -0.103, -0.342
357, -7.836, -8.583, 13.608,  -0.108,  0.159, -0.986, -0.144, -0.096, -0.357
358,-19.410,-20.711,  2.834,  -0.099, -0.027, -0.860, -0.134, -0.091, -0.376
359,-13.840,-17.892, -5.757,  -0.255,  0.230, -1.095, -0.108, -0.111, -0.353
360,-11.604,-14.243,  2.333,  -0.228,  0.336, -1.105, -0.101, -0.123, -0.345
361,-15.604, -0.770,  9.765,  -0.207,  0.272, -1.042, -0.091, -0.120, -0.383
362,-16.284, -4.523,  4.292,  -0.255,  0.240, -1.027, -0.087, -0.118, -0.353
363,-10.602,  3.880, 10.924,  -0.304,  0.360, -1.073, -0.078, -0.116, -0.372
364,-16.180,  1.002, 22.401,  -0.269,  0.346, -0.916, -0.081, -0.118, -0.354
365,  3.462,-32.846, 28.023,  -0.340,  0.407, -1.153, -0.071, -0.117, -0.364
366, 14.782,-12.307, 22.864,  -0.300,  0.288, -0.975, -0.067, -0.108, -0.370
367, 11.103,-13.593, 14.640,  -0.331,  0.232, -1.002, -0.054, -0.062, -0.364
368, -9.697,-12.808, 21.219,  -0.409,  0.233, -0.995, -0.040, -0.065, -0.354
369,-10.752, -5.219, 20.815,  -0.385,  0.229, -0.927, -0.030, -0.046, -0.379
370,  3.432,-13.742, 21.832,  -0.378,  0.260, -0.931, -0.024, -0.045, -0.356
371,  0.456,-20.965, 13.997,  -0.412,  0.255, -0.974, -0.026, -0.048, -0.346
372,-36.120, -4.060, 18.894,  -0.478,  0.247, -0.851, -0.039, -0.053, -0.333
373,-14.512,-12.883,  8.867,  -0.515,  0.325, -0.900, -0.040, -0.018, -0.381
374,-13.122, -8.217,  4.232,  -0.512,  0.476, -0.880,  0.012,  0.017, -0.375
375,-25.272, -1.406, 17.511,  -0.513,  0.417, -0.841,  0.064,  0.026, -0.352
376, -2.766, -4.680,  5.421,  -0.501,  0.526, -0.854,  0.113,  0.016, -0.383
377,  4.217, -1.189,  1.017,  -0.547,  0.487, -0.860,  0.143,  0.003, -0.355
378,  8.284,  0.710, -5.682,  -0.484,  0.489, -0.825,  0.170, -0.022, -0.372
379,  4.950, -2.834, -5.495,  -0.523,  0.452, -0.871,  0.188, -0.022, -0.364
380,  5.436,  0.561,-12.501,  -0.499,  0.529, -0.884,  0.194, -0.019, -0.343
381,  5.264, -0.793, -8.897,  -0.504,  0.482, -0.770,  0.201, -0.016, -0.336
382,  1.869, -6.953,-12.875,  -0.519,  0.448, -0.813,  0.212, -0.004, -0.327
383,  9.690,-15.155,-17.802,  -0.673,  0.495, -1.177,  0.234,  0.023, -0.300
384, 20.143, 43.149, -6.004,  -0.774,  0.742, -1.238,  0.200,  0.026, -0.364
385, 24.561, 63.418, 14.969,  -0.535,  0.468, -0.977,  0.080,  0.002, -0.385
386, 20.247, 54.999, 10.311,  -0.301,  0.268, -0.879,  0.012,  0.013, -0.358
387,  7.709, 45.780, 11.462,  -0.202,  0.159, -0.653, -0.018,  0.032, -0.344
388, -1.219, 10.983,  3.694,  -0.055,  0.123, -0.499, -0.047,  0.053, -0.351
389,-24.158,-41.601, 17.885,  -0.038, -0.040, -0.387, -0.029,  0.045, -0.350
390,-23.358,-73.407,-15.529,  -0.288,  0.351, -1.029,  0.014,  0.044, -0.361
391,-29.511,-49.736,  6.183,  -0.565,  0.354, -1.183,  0.066,  0.022, -0.349
392,-14.692,-31.612, -1.622,  -0.672,  0.477, -1.336,  0.090, -0.041, -0.314
393, 24.614, 15.724, -5.570,  -0.852,  0.515, -1.659,  0.093, -0.011, -0.308
394, 59.261, 76.525,  5.316,  -0.685,  0.438, -1.218,  0.066,  0.053, -0.333
395, 29.451, 83.867, 15.612,  -0.277,  0.109, -0.706,  0.015,  0.099, -0.331
396,-12.591, 42.207, 24.008,   0.048, -0.092, -0.196, -0.006,  0.095, -0.337
397, -2.871,-39.373, -4.800,   0.148, -0.049, -0.276,  0.001,  0.103, -0.331
398,-23.888,-78.566, -3.080,  -0.267,  0.088, -0.898,  0.049,  0.104, -0.317
399,-17.443,-69.602, -0.800,  -0.726,  0.257, -1.301,  0.104,  0.098, -0.298
400,  2.370,-32.778, -2.183,  -0.800,  0.371, -1.530,  0.149,  0.086, -0.309
401, 36.016, 36.038, -2.034,  -0.825,  0.511, -1.576,  0.150,  0.093, -0.290
402, 37.691, 79.785, 35.889,  -0.583,  0.253, -1.023,  0.126,  0.116, -0.322
403, 15.320, 84.443, 48.390,  -0.302, -0.127, -0.557,  0.086,  0.146, -0.300
404, -6.752, 39.395, 18.348,  -0.006, -0.263, -0.283,  0.071,  0.159, -0.304
405,  0.172,-40.913,-10.707,   0.026, -0.125, -0.425,  0.076,  0.158, -0.308
406,-26.273,-60.450, -8.105,  -0.163,  0.053, -0.849,  0.111,  0.148, -0.297
407,-16.217,-70.753, -6.669,  -0.576,  0.314, -1.235,  0.152,  0.162, -0.306
408, 13.473,-41.347, 16.748,  -0.755,  0.230, -1.739,  0.196,  0.139, -0.254
409, 33.653, 35.814, 11.514,  -0.664,  0.136, -1.447,  0.201,  0.149, -0.238
410, 36.711, 60.278, 28.531,  -0.475,  0.125, -0.973,  0.193,  0.172, -0.229
411, 26.647, 50.775, 19.500,  -0.349, -0.213, -0.821,  0.187,  0.199, -0.265
412,-10.236, 37.743,  9.795,  -0.225, -0.250, -0.458,  0.177,  0.174, -0.265
413,-28.726,-37.990, -3.282,  -0.127, -0.241, -0.210,  0.179,  0.168, -0.278
414,-37.107,-84.017,-11.679,  -0.554, -0.069, -0.846,  0.217,  0.161, -0.260
415,-17.354,-68.263,-32.950,  -0.757,  0.023, -1.222,  0.256,  0.144, -0.205
416, -3.940,-37.212,-27.029,  -0.840,  0.240, -1.246,  0.255,  0.152, -0.172
417, 31.619,-12.441, -1.234,  -0.829,  0.040, -1.196,  0.255,  0.178, -0.154
418, -9.967, 28.995,  9.383,  -0.865, -0.303, -1.219,  0.263,  0.174, -0.151
419,-12.830, 76.779,  2.894,  -0.838, -0.103, -1.198,  0.258,  0.171, -0.172
420,-68.936,109.999, 17.825,  -0.525, -0.029, -1.042,  0.218,  0.142, -0.250
421,-129.035,135.779, 52.121,  -0.331,  0.120, -0.900,  0.151,  0.075, -0.328
422,-93.924,119.891, 54.147,  -0.115,  0.145, -0.553,  0.040, -0.039, -0.387
423,-52.151, 79.807,-11.896,   0.082,  0.130, -0.462, -0.030, -0.082, -0.381
424,-65.370, 45.504,-80.054,   0.187,  0.288, -0.118, -0.072, -0.136, -0.351
425,-52.039, 49.893,-93.527,   0.226,  1.059, -0.300, -0.076, -0.204, -0.310
426,  4.292, 22.610,-104.593,   0.086,  1.145, -0.308, -0.064, -0.262, -0.286
427, 25.122, 44.637,-73.168,  -0.050,  1.497, -0.315, -0.009, -0.276, -0.322
428, 28.853, 70.484,-30.999,   0.029,  1.283, -0.490, -0.049, -0.211, -0.334
429, 63.747, 87.718,-23.500,   0.021,  1.433, -0.469, -0.138, -0.221, -0.254
430, 51.597,107.905, 43.822,   0.077,  1.309, -0.265, -0.152, -0.204, -0.217
431, 49.743, 55.366, 70.686,   0.328,  0.857, -0.215, -0.197, -0.143, -0.229
432, 48.480,-16.830, 79.770,   0.478,  0.397, -0.098, -0.212, -0.057, -0.260
433, 54.543,-47.201, 46.924,   0.371,  0.109, -0.633, -0.187,  0.015, -0.261
434, 44.689,-46.775, 21.436,   0.185, -0.119, -0.782, -0.154,  0.084, -0.273
435, 18.079,-67.336, -2.086,   0.148, -0.047, -0.665, -0.117,  0.095, -0.315
436,  9.802,-79.247,-21.937,  -0.034, -0.139, -1.162, -0.078,  0.106, -0.290
437,-24.816,-36.337,-29.818,  -0.099,  0.139, -1.265, -0.045,  0.100, -0.311
438,-20.060, -8.688,-15.641,  -0.129,  0.274, -1.302, -0.030,  0.077, -0.324
439,-34.633, 10.176,  1.092,  -0.096,  0.238, -1.075, -0.026,  0.073, -0.352
440,-12.987,  4.725, -4.733,  -0.080,  0.147, -0.969, -0.035,  0.072, -0.327
441, -7.118,  3.716,-11.716,  -0.055,  0.205, -0.932, -0.033,  0.071, -0.330
442, -5.802,  0.471,-12.382,  -0.058,  0.284, -1.030, -0.036,  0.062, -0.334
443, -1.660,  0.030, -4.718,  -0.078,  0.230, -1.033, -0.038,  0.065, -0.334
444,  9.264,  0.763, -4.464,  -0.126,  0.142, -0.984, -0.030,  0.076, -0.341
445, 10.826,  6.639, -9.922,  -0.055,  0.201, -1.032, -0.034,  0.082, -0.327
446,  9.428,  2.774,-17.129,  -0.053,  0.141, -1.065, -0.040,  0.087, -0.320
447,  0.897,  1.353, -7.910,  -0.073,  0.112, -0.996, -0.039,  0.107, -0.311
448,-52.300, -8.172, -2.953,  -0.072,  0.139, -0.965, -0.037,  0.097, -0.313
449,-28.494, -1.518, -6.699,  -0.097,  0.210, -1.044, -0.037,  0.077, -0.309
450, 21.660, -0.232,-26.431,  -0.076,  0.254, -1.101, -0.038,  0.089, -0.306
451, -5.780, 10.183, -9.555,  -0.111,  0.170, -0.986, -0.045,  0.098, -0.320
452,-10.198,  9.854,-11.447,  -0.058,  0.180, -1.042, -0.052,  0.082, -0.313
453, -4.030,  0.060,-10.408,  -0.099,  0.195, -0.959, -0.055,  0.091, -0.332
454, -4.815,  5.578, -2.579,  -0.129,  0.155, -1.027, -0.058,  0.097, -0.303
455, -5.623,  2.325, -1.944,  -0.110,  0.120, -1.030, -0.056,  0.091, -0.304
456, -4.404,  2.826, -4.531,  -0.091,  0.146, -1.047, -0.059,  0.099, -0.307
457,-11.372,  1.974, -6.976,  -0.076,  0.155, -0.954, -0.057,  0.094, -0.322
458, 43.179,-42.214,  4.090,  -0.053,  0.473, -0.863, -0.050,  0.105, -0.324
459,  3.880, -8.546, 13.062,  -0.267, -0.030, -1.146, -0.002,  0.128, -0.313
460, -8.015, 13.354, -1.144,  -0.234,  0.028, -1.054,  0.005,  0.117, -0.316
461, -7.910, 19.081,  3.260,  -0.247,  0.073, -1.106, -0.005,  0.122, -0.324
462,-12.000, 23.492,  0.860,  -0.142,  0.029, -0.939, -0.018,  0.103, -0.326
463,-13.974, 12.299,-10.811,  -0.081,  0.051, -0.842, -0.034,  0.102, -0.343
464,-17.010,  6.662, -9.204,  -0.027,  0.163, -1.006, -0.043,  0.084, -0.331
465, -8.733,  3.185, -4.755,  -0.026,  0.177, -1.075, -0.041,  0.087, -0.301
466, -7.290,  3.641, -6.064,  -0.083,  0.167, -1.000, -0.044,  0.093, -0.319
467, -8.853,  6.796, -6.378,  -0.017,  0.193, -0.997, -0.047,  0.084, -0.310
468, -7.365,  5.675, -3.985,  -0.038,  0.162, -1.020, -0.052,  0.072, -0.314
469, -6.953,  4.045, -7.028,  -0.030,  0.163, -1.000, -0.055,  0.088, -0.308
470, -2.094,  3.918, -9.817,  -0.071,  0.166, -0.957, -0.054,  0.077, -0.313
471, -8.770,  1.301, -7.567,  -0.018,  0.186, -1.024, -0.057,  0.081, -0.301
472, -6.333,  0.905, -5.002,  -0.034,  0.210, -1.013, -0.057,  0.077, -0.320
