ax, ay, az, gx, gy, gz 
 -0.043,  0.014, -1.029, -4.426,   8.344,  -1.645
 -0.054,  0.013, -1.074, -3.417,   9.398,  -1.443
 -0.073,  0.003, -1.046, -4.553,   7.133,  -1.914
 -0.061,  0.008, -1.053, -2.303,   8.867,  -1.353
 -0.082, -0.013, -1.050,  0.688,  11.828,  -1.107
 -0.049,  0.022, -1.073, -1.204,  10.086,  -1.488
 -0.078, -0.007, -0.965, -0.307,  11.178,  -2.056
 -0.056,  0.029, -1.062,  0.994,  13.496,  -1.540
 -0.076,  0.002, -1.057, -6.961,   6.273,  -1.817
 -0.036,  0.013, -1.065, -2.168,   9.174,  -1.585
 -0.074,  0.011, -1.034, -2.879,   8.845,  -1.443
 -0.081, -0.001, -1.052, -3.671,   7.140,  -1.510
 -0.063,  0.019, -1.047, -2.355,  10.393,  -0.994
 -0.063,  0.008, -1.052, -2.774,   9.974,  -1.555
 -0.060,  0.004, -1.045, -2.781,  10.415,  -1.331
 -0.065,  0.012, -1.043, -2.064,  10.505,  -1.189
 -0.049,  0.016, -1.074, -2.056,   9.578,  -1.279
 -0.059, -0.007, -1.043, -2.251,  10.348,  -1.293
 -0.024, -0.054, -1.048, -3.514,   8.733,  -1.892
 -0.089,  0.014, -1.064,-12.075,   3.589,  -1.750
 -0.072,  0.007, -1.033, -7.088,   6.759,  -1.518
 -0.066,  0.014, -1.038, -5.623,   8.150,  -1.421
 -0.062,  0.012, -1.040, -3.888,   7.903,  -1.488
 -0.022, -0.077, -1.038, -4.097,   8.359,  -1.488
 -0.057,  0.062, -1.239,-29.675, -69.646, 131.188
 -0.286, -0.065, -1.224,  0.591,  58.798,  48.607
 -0.213,  0.051, -1.086,  3.462,  35.253,  41.653
  0.028, -0.128, -0.938,-52.173,  56.293,  74.484
 -0.104,  0.050, -1.031,-90.110, -203.937,  55.381
 -0.394, -0.004, -1.036,106.373, -77.377,  73.587
 -0.410, -0.203, -0.891, 19.223,  68.473,  44.188
 -0.251, -0.209, -0.995,-16.793,  95.658,  10.707
 -0.128, -0.087, -1.054,-122.859,  71.134,  20.337
 -0.188,  0.229, -1.058,-47.066,  14.363,  42.341
 -0.194,  0.033, -1.001,-234.876,  32.135,  63.231
