id, roll, pitch, yaw
187, 45.601,-28.095,-18.710
188, 35.825,-28.832,-16.681
189, 25.160,-29.680,-14.603
190, 20.300,-30.258,-12.030
191, 14.500,-30.077,-10.409
192,  9.913,-29.639, -9.389
193,  5.551,-29.444, -8.651
194,  0.853,-29.357, -7.827
195, -3.868,-29.180, -7.008
196, -8.058,-29.337, -5.943
197,-11.256,-29.722, -4.587
198,-14.639,-30.239, -3.344
199,-18.691,-30.432, -1.983
200,-21.575,-30.146, -1.668
201,-24.764,-29.705, -1.478
202,-27.667,-29.595, -1.066
203,-31.232,-29.810, -0.229
204,-34.191,-30.059,  0.740
205,-36.134,-30.162,  1.355
206,-37.263,-30.326,  1.601
207,-38.073,-30.422,  1.571
208,-39.193,-30.426,  2.216
209,-41.210,-30.508,  3.826
210,-43.204,-31.125,  5.848
211,-46.299,-31.986,  7.743
212,-46.286,-32.512,  7.974
213,-46.540,-32.202,  8.129
214,-59.953,-24.036, 21.850
215,-62.033,-23.598, 23.176
216,-63.723,-23.342, 24.010
217,-65.119,-23.216, 24.392
218,-65.574,-23.654, 25.118
219,-65.910,-23.645, 25.423
220,-66.323,-23.405, 25.020
221,-67.174,-23.610, 23.655
222,-68.238,-23.487, 22.238
223,-70.078,-22.742, 21.267
224,-71.129,-21.542, 20.677
225,-71.831,-20.467, 19.692
226,-73.305,-19.478, 18.778
227,-75.005,-18.511, 18.088
228,-76.271,-17.860, 17.603
229,-77.494,-17.316, 17.061
230,-78.788,-16.952, 16.380
231,-78.837,-16.530, 16.358
232,-79.310,-15.947, 16.020
233,-79.312,-14.734, 15.535
234,-78.849,-13.660, 15.304
235,-81.278,-11.658, 15.001
236,-83.047, -9.804, 14.474
237,-85.303, -8.113, 13.718
238,-87.621, -6.426, 12.933
239, 89.799, -4.923, 12.087
240, 87.256, -3.686, 11.571
241, 83.903, -2.944, 11.121
242, 80.644, -2.151, 10.541
243, 77.389, -1.270,  9.800
244, 73.983, -0.464,  9.081
245, 70.629,  0.117,  8.464
246, 68.892,  0.166,  7.901
247, 67.975, -0.056,  6.975
248, 66.206,  0.467,  6.593
249, 62.654,  0.978,  6.162
250, 58.445,  1.539,  5.665
251, 54.419,  1.096,  4.594
252, 50.469,  0.448,  3.418
253, 46.795, -0.007,  2.890
254, 42.862,  0.142,  2.769
255, 37.109,  0.246,  2.029
256, 33.599,  0.058,  1.179
257, 30.205,  0.101,  0.739
258, 26.375,  0.350,  0.265
259, 23.547,  0.139, -0.529
260, 21.560,  0.006, -1.537
261, 19.877, -0.015, -2.649
262, 18.075,  0.066, -3.991
263, 16.320,  0.424, -5.446
264, 14.896,  0.699, -6.621
265, 13.398,  0.768, -7.807
266, 11.833,  1.052, -9.028
267,  9.532,  1.326, -9.247
268,  6.056,  2.677,-10.392
269,  3.254,  2.965,-11.099
270, -1.546,  2.382,-12.417
271, -8.778, -1.099,-12.970
272,-12.557, -2.282,-12.691
273,-15.541, -2.186,-13.681
274,-19.069, -3.360,-15.880
275,-25.989, -5.516,-16.535
276,-31.038, -7.172,-16.114
277,-34.952, -7.882,-15.594
278,-40.988,-10.003,-14.748
279,-47.094,-12.011,-14.463
280,-52.985,-14.041,-14.593
281,-45.431,-11.299,-18.408
282,-44.096,-11.126,-18.843
283,-44.589,-11.056,-18.012
284,-44.788,-10.766,-17.374
285,-46.141,-10.345,-16.946
286,-47.889,-10.163,-16.807
287,-49.625,-10.230,-17.001
288,-50.990,-10.388,-17.221
289,-51.491,-10.344,-17.410
290,-51.576,-10.374,-17.539
291,-51.087,-10.336,-17.459
292,-49.663,-10.590,-17.073
293,-48.738,-10.970,-16.912
294,-47.580,-11.431,-16.853
295,-46.113,-11.902,-16.680
296,-44.967,-12.318,-16.524
297,-43.406,-12.636,-16.422
298,-41.350,-13.099,-16.232
299,-40.119,-13.776,-16.279
300,-37.026,-14.148,-16.461
301,-35.289,-14.590,-16.636
302,-33.687,-14.811,-16.835
303,-32.370,-15.099,-16.817
304,-32.461,-15.333,-17.068
305,-33.273,-15.544,-17.186
306,-34.761,-15.503,-17.491
307,-36.066,-15.433,-17.914
308,-37.479,-15.385,-18.422
309,-39.644,-15.502,-18.851
310,-41.896,-15.769,-19.342
311,-43.733,-16.111,-19.598
312,-45.809,-16.357,-19.806
313,-48.709,-16.754,-20.235
314,-51.632,-17.107,-20.501
315,-54.536,-17.506,-20.699
316,-57.208,-17.817,-20.853
317,-60.412,-18.105,-20.853
318,-63.819,-18.916,-20.948
319,-67.035,-20.243,-20.964
320,-69.666,-20.451,-20.879
321,-71.523,-22.546,-20.390
322,-72.878,-22.999,-19.698
323,-73.605,-22.919,-19.289
324,-74.339,-22.418,-19.130
325,-75.465,-21.993,-19.133
326,-76.726,-21.849,-19.478
327,-77.698,-21.604,-19.941
328,-78.247,-21.397,-20.509
329,-80.198,-21.528,-20.984
330,-82.252,-21.865,-21.310
331,-85.075,-22.663,-21.747
332,-87.282,-23.678,-22.606
333,-89.764,-24.759,-23.465
334, 86.483,-25.394,-23.560
335, 82.947,-25.776,-23.437
336, 79.795,-26.021,-22.924
337, 75.597,-26.491,-22.604
338, 71.146,-27.331,-22.220
339, 65.699,-28.056,-21.656
340, 60.024,-28.640,-20.837
341, 55.544,-29.233,-20.051
342, 51.091,-29.830,-19.756
343, 46.672,-30.195,-19.431
344, 41.688,-30.590,-19.331
345, 37.040,-31.614,-19.217
346, 32.890,-32.309,-19.102
347, 29.085,-32.656,-18.683
348, 24.782,-32.984,-18.064
349, 19.294,-33.591,-17.424
350, 14.941,-34.101,-18.000
351, 11.650,-33.840,-18.213
